frame,time,id,pose_cx,pose_cy,pelvis_x,pelvis_y,pelvis_z,pelvis_u,pelvis_v,left_hip_x,left_hip_y,left_hip_z,left_hip_u,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_u,right_hip_v,spine3_x,spine3_y,spine3_z,spine3_u,spine3_v,neck_x,neck_y,neck_z,neck_u,neck_v,left_knee_x,left_knee_y,left_knee_z,left_knee_u,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_u,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_u,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_u,right_ankle_v,left_foot_x,left_foot_y,left_foot_z,left_foot_u,left_foot_v,right_foot_x,right_foot_y,right_foot_z,right_foot_u,right_foot_v,head_x,head_y,head_z,head_u,head_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_u,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_u,right_shoulder_v,left_acromion_x,left_acromion_y,left_acromion_z,left_acromion_u,left_acromion_v,right_acromion_x,right_acromion_y,right_acromion_z,right_acromion_u,right_acromion_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_u,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_u,right_elbow_v,left_olecranon_x,left_olecranon_y,left_olecranon_z,left_olecranon_u,left_olecranon_v,right_olecranon_x,right_olecranon_y,right_olecranon_z,right_olecranon_u,right_olecranon_v,left_cubital_fossa_x,left_cubital_fossa_y,left_cubital_fossa_z,left_cubital_fossa_u,left_cubital_fossa_v,right_cubital_fossa_x,right_cubital_fossa_y,right_cubital_fossa_z,right_cubital_fossa_u,right_cubital_fossa_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_u,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_u,right_wrist_v,left_big_toe_tip_x,left_big_toe_tip_y,left_big_toe_tip_z,left_big_toe_tip_u,left_big_toe_tip_v,right_big_toe_tip_x,right_big_toe_tip_y,right_big_toe_tip_z,right_big_toe_tip_u,right_big_toe_tip_v,left_small_toe_tip_x,left_small_toe_tip_y,left_small_toe_tip_z,left_small_toe_tip_u,left_small_toe_tip_v,right_small_toe_tip_x,right_small_toe_tip_y,right_small_toe_tip_z,right_small_toe_tip_u,right_small_toe_tip_v,left_heel_x,left_heel_y,left_heel_z,left_heel_u,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_u,right_heel_v,left_toe_x,left_toe_y,left_toe_z,left_toe_u,left_toe_v,right_toe_x,right_toe_y,right_toe_z,right_toe_u,right_toe_v
0,0,1,125.249,699.757,-0.858012,0.24129,4.91823,98.0448,713.667,-0.910142,0.233427,4.9738,85.234,710.47,-0.805882,0.249152,4.86266,111.148,716.937,-0.740627,-0.119108,4.98516,136.919,604.124,-0.690319,-0.273564,5.01385,153.261,558.072,-0.940567,0.569593,5.23944,90.4451,803.238,-0.595745,0.618789,4.92356,178.313,828.715,-1.11401,0.944056,5.23833,40.6703,910.612,-0.606978,1.02064,4.83359,171.442,957.061,-1.06433,1.0247,5.3899,63.49,925.47,-0.441057,1.07863,4.86223,223.792,973.105,-0.557698,-0.35317,5.14866,197.352,537.001,-0.847055,-0.248921,5.09738,110.479,566.674,-0.596339,-0.218597,4.86324,175.876,572.507,-0.824661,-0.278007,5.11959,118.129,558.461,-0.571178,-0.246339,4.88202,184.323,564.234,-0.964391,-0.00255811,5.12313,77.3424,639.25,-0.610123,0.0315808,4.7553,167.344,649.972,-0.995055,0.00504744,5.1027,67.1873,641.485,-0.629234,0.0436819,4.72403,159.994,653.885,-0.940694,0.00608218,5.13875,85.1259,641.777,-0.595911,0.0355247,4.78321,172.93,651.152,-1.02098,0.24847,5.20843,65.6583,711.632,-0.531196,0.288663,4.769,192.748,730.888,-1.02545,1.02905,5.39102,74.3804,926.621,-0.43209,1.07438,4.89995,227.589,969.237,-1.10321,1.02036,5.38878,52.595,924.319,-0.450024,1.08288,4.8245,219.936,977.033,-1.14646,0.984744,5.211,29.6444,923.756,-0.635019,1.06832,4.81246,161.864,973.333,-1.06433,1.0247,5.3899,63.49,925.47,-0.441057,1.07863,4.86223,223.792,973.105
0,0,2,494.981,734.649,0.743256,0.460631,6.8506,522.912,740.964,0.739713,0.470954,6.77147,524.03,744.433,0.7468,0.450307,6.92972,521.82,737.574,0.560811,0.12712,6.85536,482.837,667.844,0.482621,-0.0158132,6.8574,465.679,636.537,0.660823,0.880662,6.81943,505.506,833.911,0.547541,0.749037,7.14753,475.028,797.358,1.05154,0.987965,6.77782,592.959,858.874,0.700915,1.10915,7.26114,504.945,869.365,1.0543,1.16334,6.77291,593.74,897.914,0.559779,1.14867,7.35435,474.292,874.526,0.306563,-0.0947968,6.82601,427.437,619.147,0.51643,0.0146327,6.67919,476.1,643.29,0.503204,0.0530711,7.03498,467.405,651.328,0.482112,-0.0103371,6.68082,468.358,637.677,0.472501,0.0220481,7.0362,460.834,644.705,0.558826,0.28695,6.58788,487.372,705.404,0.435854,0.33457,7.06564,452.626,711.101,0.591424,0.298874,6.57155,495.137,708.291,0.46275,0.360461,7.07978,458.145,716.451,0.53205,0.292402,6.60319,480.988,706.492,0.411634,0.326784,7.05045,447.667,709.596,0.491937,0.548893,6.53809,472.98,766.061,0.297762,0.572142,7.07364,423.208,761.452,1.04252,1.17679,6.80777,589.943,899.559,0.529051,1.15494,7.33108,468.361,876.556,1.06609,1.14989,6.73804,597.577,896.251,0.590508,1.14239,7.37763,480.185,872.51,1.10644,0.970051,6.7676,605.492,855.23,0.741629,1.15289,7.26837,513.212,878.174,1.0543,1.16334,6.77291,593.74,897.914,0.559779,1.14867,7.35435,474.292,874.526
1,0.0333333,1,140.671,702.244,-0.805083,0.255977,4.92122,114.354,718.104,-0.857811,0.248711,4.97704,101.201,715.036,-0.752356,0.263243,4.8654,127.808,721.242,-0.697569,-0.10906,4.98515,149.887,607.15,-0.651492,-0.265505,5.01254,164.839,560.465,-0.897853,0.572148,5.25765,103.577,803.403,-0.521489,0.619956,4.93183,201.226,828.754,-1.09663,0.93721,5.25347,46.557,907.876,-0.530394,1.0229,4.83388,195.242,957.747,-1.04849,1.01626,5.40556,68.7503,922.299,-0.364185,1.08125,4.86028,247.487,974.046,-0.521807,-0.350332,5.14783,207.795,537.812,-0.808135,-0.2373,5.09633,121.895,570.083,-0.555832,-0.210616,4.86149,188.321,574.948,-0.786319,-0.267143,5.11793,129.3,561.622,-0.53148,-0.23876,4.8801,196.469,566.536,-0.919373,0.0111488,5.12337,90.5496,643.268,-0.573982,0.0402303,4.75731,178.833,652.698,-0.948655,0.020213,5.10166,80.7845,645.949,-0.592268,0.0524141,4.72566,171.809,656.654,-0.896285,0.0186418,5.14039,98.1862,645.445,-0.560932,0.0439978,4.78584,184.007,653.804,-0.973151,0.261039,5.21292,79.6876,715.191,-0.503445,0.298732,4.78057,201.87,733.831,-1.00977,1.02187,5.40615,79.5369,923.824,-0.354932,1.07737,4.89797,251.189,970.286,-1.08721,1.01066,5.40496,57.9614,920.773,-0.373438,1.08513,4.82259,243.726,977.865,-1.13196,0.976852,5.22717,34.8338,920.611,-0.558397,1.07058,4.81212,185.759,974.062,-1.04849,1.01626,5.40556,68.7503,922.299,-0.364185,1.08125,4.86028,247.487,974.046
1,0.0333333,2,503.224,731.973,0.796545,0.443157,6.85808,534.401,737.028,0.79384,0.444584,6.77993,535.813,738.463,0.79925,0.441729,6.93623,533.022,735.626,0.601769,0.119107,6.89398,491.07,665.942,0.518294,-0.0197711,6.90937,472.637,635.703,0.613539,0.818171,6.77992,495.881,821.202,0.648496,0.78315,7.11728,496.816,805.224,0.983254,0.973878,6.73322,579.273,857.182,0.820641,1.12232,7.2527,529.901,872.359,0.936507,1.1399,6.72264,569.177,894.607,0.66856,1.16237,7.32306,497.085,878.339,0.33993,-0.0976712,6.89029,434.079,618.715,0.560636,-0.0163883,6.73116,485.064,636.344,0.531515,0.0706162,7.07877,472.746,654.979,0.5256,-0.039243,6.73455,477.19,631.25,0.501411,0.0385211,7.08082,466.329,648.169,0.627559,0.23191,6.60687,502.627,692.707,0.455854,0.345687,7.10318,456.364,713.076,0.66199,0.237606,6.59099,510.815,694.131,0.481348,0.370872,7.12076,461.502,718.206,0.601343,0.242288,6.61954,496.407,694.96,0.433823,0.338615,7.08542,451.937,711.76,0.595973,0.487495,6.51537,497.35,752.35,0.323451,0.58487,7.10196,428.387,763.658,0.922076,1.15102,6.75732,564.897,895.771,0.642201,1.17008,7.29531,492.181,880.832,0.950937,1.12878,6.68796,573.502,893.431,0.694919,1.15466,7.35081,501.952,875.864,1.04131,0.969375,6.72237,592.596,856.527,0.861708,1.1635,7.2686,538.013,880.359,0.936507,1.1399,6.72264,569.177,894.607,0.66856,1.16237,7.32306,497.085,878.339
2,0.0666667,1,155.086,704.747,-0.754451,0.270543,4.91615,129.565,722.633,-0.807328,0.264324,4.97237,116.203,719.821,-0.701574,0.276763,4.85993,143.237,725.511,-0.65446,-0.100329,4.97706,162.552,609.731,-0.611607,-0.259274,5.00316,176.443,562.186,-0.851831,0.581802,5.25496,116.597,806.245,-0.456005,0.618335,4.93512,221.256,828.135,-1.06905,0.93454,5.25285,54.4052,907.144,-0.45545,1.02167,4.84399,218.818,956.701,-1.027,1.02329,5.40247,74.5548,924.412,-0.289934,1.08326,4.87001,270.605,974.001,-0.484817,-0.344565,5.13895,218.341,539.321,-0.767359,-0.231362,5.0877,133.525,571.717,-0.517811,-0.20333,4.85038,199.698,577.054,-0.745902,-0.260943,5.10886,140.77,563.305,-0.49336,-0.231467,4.86804,207.822,568.604,-0.877176,0.0171874,5.10977,102.233,645.051,-0.547483,0.043828,4.7421,186.643,653.878,-0.906454,0.0262526,5.08804,92.4913,647.748,-0.569067,0.0548478,4.71213,178.662,657.478,-0.853736,0.0246654,5.12673,109.951,647.224,-0.531597,0.0485337,4.76896,192.621,655.281,-0.925727,0.267407,5.19657,92.5094,717.268,-0.477249,0.301856,4.74863,209.09,735.45,-0.988685,1.03123,5.40294,85.2295,926.595,-0.280362,1.07931,4.90762,274.219,970.232,-1.06532,1.01534,5.40199,63.8783,922.227,-0.299506,1.08722,4.8324,266.935,977.828,-1.10689,0.970718,5.226,41.9643,918.911,-0.483926,1.0691,4.82291,209.335,972.853,-1.027,1.02329,5.40247,74.5548,924.412,-0.289934,1.08326,4.87001,270.605,974.001
2,0.0666667,2,510.446,727.425,0.842404,0.423991,6.80606,545.852,733.541,0.83237,0.425006,6.72678,545.803,734.87,0.852438,0.422976,6.88534,545.9,732.243,0.631451,0.111586,6.84911,498.436,664.463,0.541042,-0.0223025,6.86757,478.296,635.124,0.584283,0.754965,6.75384,489.902,807.849,0.706015,0.75398,7.08571,509.614,799.779,0.883998,1.00482,6.69813,558.171,865.256,0.917184,1.08177,7.1388,552.918,867.538,0.789408,1.14915,6.68536,537.304,898.104,0.792982,1.15562,7.23291,524.624,879.908,0.36289,-0.100095,6.8459,439.595,618.045,0.594428,-0.0263129,6.69505,493.318,634.099,0.553432,0.0736113,7.03428,478.137,655.713,0.558595,-0.0482069,6.69645,485.255,629.19,0.521933,0.0424917,7.03642,471.38,649.068,0.696652,0.203835,6.55886,519.489,686.665,0.499787,0.35339,7.06598,466.208,715.097,0.732731,0.205854,6.54687,528.056,687.214,0.526781,0.378889,7.07955,471.729,720.362,0.670067,0.216998,6.56722,513.207,689.615,0.474912,0.345654,7.05101,461.136,713.609,0.693746,0.450857,6.44295,521.681,745.074,0.358398,0.586169,7.07148,436.102,764.467,0.773915,1.15796,6.72018,532.924,898.735,0.761801,1.16323,7.21079,518.636,882.228,0.804901,1.14034,6.65055,541.73,897.466,0.824162,1.14801,7.25502,530.575,877.602,0.939774,1.01701,6.68547,571.074,868.42,0.964951,1.11664,7.13831,562.98,874.888,0.789408,1.14915,6.68536,537.304,898.104,0.792982,1.15562,7.23291,524.624,879.908
3,0.1,1,167.044,705.863,-0.709232,0.273398,4.87514,141.554,724.208,-0.762304,0.267491,4.93304,127.964,721.421,-0.656161,0.279305,4.81724,155.471,727.061,-0.612974,-0.0973206,4.93714,173.573,610.401,-0.57172,-0.2562,4.96371,187.05,562.498,-0.804721,0.58177,5.21794,128.426,807.415,-0.402551,0.614937,4.88631,236.296,828.97,-1.0324,0.921591,5.20498,62.1684,905.865,-0.384527,1.01326,4.79948,239.697,957.008,-0.979194,1.01944,5.34328,84.8286,926.48,-0.217512,1.07167,4.82386,292.293,973.587,-0.451115,-0.345335,5.10227,227.24,538.371,-0.723982,-0.222608,5.05133,144.789,573.827,-0.482341,-0.203323,4.80651,209.316,576.482,-0.702552,-0.252737,5.07212,152.015,565.179,-0.457551,-0.23147,4.82356,217.566,567.944,-0.838305,0.0225812,5.07619,112.026,646.68,-0.519723,0.0409272,4.6957,193.806,653.087,-0.867953,0.0320946,5.05542,102.201,649.533,-0.542933,0.0509847,4.66674,185.307,656.405,-0.814227,0.0297656,5.09311,119.948,648.776,-0.5026,0.0463688,4.72147,200.159,654.747,-0.881504,0.268604,5.17247,104.101,717.975,-0.453085,0.298549,4.69229,215.01,735.538,-0.941115,1.02776,5.33986,95.3603,929.003,-0.207553,1.06741,4.86133,295.891,969.7,-1.01727,1.01112,5.3467,74.3103,923.961,-0.227471,1.07593,4.7864,288.639,977.535,-1.07322,0.954828,5.17869,48.8215,916.852,-0.411752,1.06097,4.779,230.628,973.356,-0.979194,1.01944,5.34328,84.8286,926.48,-0.217512,1.07167,4.82386,292.293,973.587
3,0.1,2,518.548,723.933,0.872283,0.402661,6.77181,553.417,729.285,0.862928,0.401105,6.69424,553.56,729.97,0.881637,0.404216,6.84938,553.277,728.614,0.6555,0.0942843,6.79681,504.814,660.829,0.562594,-0.037877,6.80753,484.093,631.645,0.576472,0.704487,6.70182,489.16,797.842,0.793852,0.773065,7.02374,529.712,805.269,0.767021,1.05078,6.63435,533.601,877.824,1.03444,1.09205,7.05872,580.051,872.305,0.622632,1.14722,6.61528,501.327,900.401,0.908227,1.15878,7.15291,550.658,883.255,0.381575,-0.116347,6.78261,444.475,614.243,0.631265,-0.0350496,6.63596,502.84,632.069,0.570787,0.0457163,6.98296,482.737,649.83,0.595102,-0.0566896,6.63529,494.671,627.171,0.53812,0.0170864,6.98131,475.74,643.675,0.761212,0.18863,6.51874,535.342,683.45,0.574164,0.324245,7.02754,482.68,709.281,0.798919,0.189729,6.51322,544.183,683.74,0.601188,0.350132,7.0369,488.284,714.712,0.733634,0.202425,6.52226,528.898,686.602,0.544976,0.31484,7.01532,476.647,707.388,0.781392,0.431127,6.40302,543.243,741.103,0.401605,0.528463,7.03806,445.682,752.747,0.604326,1.15146,6.64963,496.464,900.012,0.876869,1.16536,7.13064,544.65,885.4,0.640938,1.14299,6.58093,506.242,900.794,0.939585,1.1522,7.17519,556.628,881.123,0.813479,1.08437,6.62094,544.489,885.924,1.0828,1.12796,7.05817,590.355,879.964,0.622632,1.14722,6.61528,501.327,900.401,0.908227,1.15878,7.15291,550.658,883.255
4,0.133333,1,172.989,705.564,-0.686385,0.268908,4.8357,146.867,723.5,-0.740408,0.263197,4.89209,132.742,720.785,-0.632362,0.274619,4.77932,161.325,726.279,-0.591259,-0.0998599,4.89921,178.785,609.394,-0.550491,-0.257903,4.92642,192.212,561.392,-0.768333,0.575816,5.18251,137.386,806.835,-0.378149,0.612696,4.84207,242.733,830.001,-0.988081,0.921953,5.15716,72.3105,908.436,-0.328015,1.00843,4.75123,256.336,958.7,-0.925481,1.01773,5.29181,97.3932,928.782,-0.158464,1.06328,4.7748,310.167,974.378,-0.423233,-0.351213,5.05856,234.37,535.748,-0.705166,-0.220041,5.01449,148.842,574.11,-0.460835,-0.205264,4.76913,214.906,575.373,-0.683701,-0.250572,5.03563,156.129,565.283,-0.436065,-0.232805,4.78592,223.187,566.958,-0.819615,0.0257561,5.03622,115.63,647.679,-0.512609,0.0343555,4.65313,194.582,651.086,-0.849604,0.0355446,5.01598,105.667,650.64,-0.537947,0.0431141,4.62553,185.369,653.996,-0.794804,0.032794,5.05285,123.807,649.745,-0.493814,0.0408916,4.67767,201.483,653.126,-0.854996,0.2721,5.13328,109.901,719.593,-0.451721,0.292547,4.63938,213.798,734.684,-0.887242,1.02448,5.28688,108.009,930.969,-0.148583,1.0593,4.81233,313.639,970.528,-0.963721,1.01098,5.29674,86.7974,926.6,-0.168346,1.06727,4.73727,306.64,978.289,-1.02866,0.956471,5.13114,58.9777,919.898,-0.352957,1.05657,4.72975,247.946,975.43,-0.925481,1.01773,5.29181,97.3932,928.782,-0.158464,1.06328,4.7748,310.167,974.378
4,0.133333,2,525.592,721.905,0.876098,0.387163,6.64482,557.976,727.489,0.86381,0.384976,6.56676,557.519,728.029,0.888386,0.389349,6.72288,558.421,726.961,0.665879,0.0794693,6.66993,509.905,657.89,0.575785,-0.0523992,6.68069,489.414,628.223,0.57073,0.680073,6.55389,490.76,795.811,0.8564,0.7691,6.88994,546.639,807.614,0.643512,1.0676,6.48793,508.934,887.084,1.11438,1.07482,6.9053,602.323,873.721,0.476066,1.12157,6.48284,470.267,899.778,1.00385,1.13644,7.01969,574.73,883.092,0.391537,-0.132771,6.65561,448.334,610.046,0.64247,-0.0472003,6.50815,508.231,629.11,0.602845,0.0178353,6.85859,491.981,643.905,0.606784,-0.0686034,6.50762,500.009,624.171,0.569041,-0.00932276,6.85849,484.583,637.959,0.805108,0.153658,6.39793,548.955,676.063,0.645262,0.281661,6.92933,499.826,701.035,0.843106,0.151048,6.39463,557.975,675.468,0.670009,0.307284,6.93935,504.979,706.491,0.778126,0.170492,6.39975,542.57,680.002,0.614469,0.271378,6.91663,493.398,698.914,0.848749,0.392457,6.28291,562.844,733.794,0.44167,0.452592,6.94564,455.483,737.845,0.459785,1.12053,6.51847,465.914,898.119,0.969873,1.14485,7.00234,567.977,885.499,0.492346,1.1226,6.4472,474.668,901.456,1.03782,1.12802,7.03703,581.449,880.697,0.676747,1.11333,6.47289,516.989,898.266,1.16343,1.10965,6.89994,613.186,881.482,0.476066,1.12157,6.48284,470.267,899.778,1.00385,1.13644,7.01969,574.73,883.092
