frame,time,id,pose_cx,pose_cy,pelvis_x,pelvis_y,pelvis_z,pelvis_u,pelvis_v,left_hip_x,left_hip_y,left_hip_z,left_hip_u,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_u,right_hip_v,spine3_x,spine3_y,spine3_z,spine3_u,spine3_v,neck_x,neck_y,neck_z,neck_u,neck_v,left_knee_x,left_knee_y,left_knee_z,left_knee_u,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_u,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_u,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_u,right_ankle_v,left_foot_x,left_foot_y,left_foot_z,left_foot_u,left_foot_v,right_foot_x,right_foot_y,right_foot_z,right_foot_u,right_foot_v,head_x,head_y,head_z,head_u,head_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_u,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_u,right_shoulder_v,left_acromion_x,left_acromion_y,left_acromion_z,left_acromion_u,left_acromion_v,right_acromion_x,right_acromion_y,right_acromion_z,right_acromion_u,right_acromion_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_u,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_u,right_elbow_v,left_olecranon_x,left_olecranon_y,left_olecranon_z,left_olecranon_u,left_olecranon_v,right_olecranon_x,right_olecranon_y,right_olecranon_z,right_olecranon_u,right_olecranon_v,left_cubital_fossa_x,left_cubital_fossa_y,left_cubital_fossa_z,left_cubital_fossa_u,left_cubital_fossa_v,right_cubital_fossa_x,right_cubital_fossa_y,right_cubital_fossa_z,right_cubital_fossa_u,right_cubital_fossa_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_u,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_u,right_wrist_v,left_big_toe_tip_x,left_big_toe_tip_y,left_big_toe_tip_z,left_big_toe_tip_u,left_big_toe_tip_v,right_big_toe_tip_x,right_big_toe_tip_y,right_big_toe_tip_z,right_big_toe_tip_u,right_big_toe_tip_v,left_small_toe_tip_x,left_small_toe_tip_y,left_small_toe_tip_z,left_small_toe_tip_u,left_small_toe_tip_v,right_small_toe_tip_x,right_small_toe_tip_y,right_small_toe_tip_z,right_small_toe_tip_u,right_small_toe_tip_v,left_heel_x,left_heel_y,left_heel_z,left_heel_u,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_u,right_heel_v,left_toe_x,left_toe_y,left_toe_z,left_toe_u,left_toe_v,right_toe_x,right_toe_y,right_toe_z,right_toe_u,right_toe_v
0,0,1,609.591,738.624,-1.08451,0.659212,3.11648,611.698,751.712,-1.16574,0.665661,3.15768,590.497,750.994,-1.00329,0.652763,3.07528,633.467,752.449,-1.11641,0.26349,3.15169,605.46,623.677,-1.13008,0.0938954,3.16678,602.829,569.676,-1.25047,1.06627,3.27165,577.446,866.2,-0.901762,1.06294,3.02945,662.071,891.181,-1.41129,1.44894,3.24197,524.297,987.328,-0.83702,1.44872,2.8907,670.187,1041.61,-1.31438,1.52306,3.36854,569.46,992.543,-0.766303,1.5203,3.0368,707.437,1041.07,-1.13096,-0.0325844,3.32205,619.258,530.183,-1.29478,0.15761,3.19744,554.697,589.336,-0.980253,0.127126,3.05998,639.37,581.581,-1.28909,0.123706,3.22054,559.373,578.446,-0.969256,0.0948522,3.08188,645.22,570.805,-1.32416,0.43735,3.22622,549.2,675.681,-0.933022,0.393737,2.97598,646.204,672.422,-1.33359,0.468095,3.21969,545.435,685.514,-0.932154,0.420249,2.95429,644.195,682.377,-1.30164,0.414712,3.24526,558.555,667.904,-0.933192,0.380376,3.00815,649.504,666.561,-1.19305,0.484247,3.44114,612.993,680.847,-0.847528,0.518516,3.17991,693.238,703.204,-1.27653,1.52268,3.35935,579.671,993.668,-0.791627,1.51954,3.06622,701.594,1036.02,-1.35224,1.52344,3.37773,559.305,991.425,-0.740979,1.52106,3.00738,713.395,1046.22,-1.44585,1.49255,3.22084,510.698,1003.82,-0.837601,1.49381,2.85184,666.034,1064.27,-1.31438,1.52306,3.36854,569.46,992.543,-0.766303,1.5203,3.0368,707.437,1041.07
0,0,2,760.568,677.838,-1.24375,0.884373,6.20637,759.423,682.621,-1.16786,0.884748,6.21579,771.947,682.465,-1.31965,0.883998,6.19695,746.86,682.777,-1.23879,0.487999,6.17259,759.13,619.129,-1.23666,0.318124,6.15811,759.004,591.705,-1.09306,1.29226,6.1047,780.789,751.871,-1.33651,1.30917,6.25127,746.012,749.61,-1.06615,1.69373,6.14032,786.216,816.082,-1.35688,1.68787,6.39032,747.479,804.364,-0.978973,1.74684,5.99515,796.561,831.635,-1.36389,1.75218,6.22758,740.798,821.607,-1.23679,0.192609,5.99245,753.426,572.17,-1.08353,0.404281,6.21844,785.601,605.071,-1.40418,0.340465,6.16951,732.198,595.234,-1.07128,0.363985,6.19883,787.028,598.77,-1.39128,0.298592,6.15896,733.904,588.524,-1.02261,0.688747,6.24234,796.037,650.433,-1.54666,0.433163,5.94394,699.561,612.939,-1.03904,0.708847,6.26813,794.088,653.188,-1.56769,0.447927,5.92388,695.126,615.681,-1.00864,0.686549,6.21785,797.639,650.514,-1.5173,0.414708,5.94879,704.713,609.775,-0.911677,0.930533,6.21298,813.132,689.905,-1.41968,0.281772,5.76826,713.663,588.892,-1.00017,1.74061,5.96309,792.125,832.156,-1.32969,1.749,6.20952,745.673,821.915,-0.957779,1.75308,6.02721,800.95,831.119,-1.39809,1.75536,6.24564,735.951,821.302,-1.07575,1.74231,6.17,785.494,822.634,-1.36356,1.73349,6.42701,747.651,809.959,-0.978973,1.74684,5.99515,796.561,831.635,-1.36389,1.75218,6.22758,740.798,821.607
1,0.0166667,1,613.008,739.707,-1.06396,0.658225,3.086,614.924,753.483,-1.1326,0.662156,3.11626,596.228,752.673,-0.995321,0.654293,3.05574,633.99,754.309,-1.09022,0.259074,3.11228,609.393,623.316,-1.10147,0.088009,3.12354,607.051,568.201,-1.2355,1.06306,3.25169,579.706,867.216,-0.894508,1.0776,3.03835,665.334,894.98,-1.39489,1.44226,3.21117,525.227,989.537,-0.838233,1.46539,2.91063,671.755,1043.91,-1.31355,1.51107,3.35135,567.707,991.283,-0.764878,1.53325,3.05728,709.595,1041.95,-1.10477,-0.0590754,3.27379,622.24,521.939,-1.26802,0.151636,3.14378,556.3,588.276,-0.947343,0.123256,3.02445,646.494,580.789,-1.26271,0.116632,3.1662,560.839,576.869,-0.938333,0.0907679,3.04666,651.74,569.819,-1.30268,0.426894,3.17158,548.901,674.719,-0.906463,0.38727,2.94324,651.745,671.696,-1.31097,0.457733,3.16528,545.462,684.739,-0.905826,0.414515,2.92356,649.889,681.91,-1.28167,0.403569,3.1919,558.107,666.548,-0.907902,0.372398,2.97494,654.547,665.289,-1.18295,0.463327,3.40475,612.252,676.203,-0.838075,0.501441,3.16936,695.335,698.356,-1.27483,1.51081,3.34659,578.727,991.848,-0.789864,1.53123,3.087,703.905,1036.46,-1.35227,1.51133,3.35612,556.718,990.719,-0.739892,1.53528,3.02755,715.397,1047.55,-1.42624,1.48639,3.18713,512.103,1006.79,-0.83927,1.51069,2.87249,667.566,1066.38,-1.31355,1.51107,3.35135,567.707,991.283,-0.764878,1.53325,3.05728,709.595,1041.95
1,0.0166667,2,761.166,678.169,-1.24436,0.890405,6.2282,760.029,683.09,-1.16838,0.890682,6.24084,772.62,682.845,-1.32034,0.890128,6.21555,747.387,683.337,-1.23983,0.491234,6.19997,759.849,619.302,-1.23789,0.320161,6.18787,759.771,591.786,-1.0928,1.29841,6.13195,781.628,751.933,-1.33676,1.3156,6.26568,746.464,750.156,-1.06602,1.69955,6.15971,786.783,816.158,-1.36016,1.69169,6.40899,747.586,804.189,-0.975201,1.7514,6.01607,797.757,831.379,-1.36567,1.75582,6.2465,741.177,821.338,-1.23034,0.190978,6.02279,755.539,571.737,-1.08431,0.407531,6.25445,786.48,605.216,-1.40817,0.343584,6.19305,732.42,595.528,-1.07244,0.367419,6.23564,787.862,598.975,-1.39391,0.301767,6.18343,734.374,588.846,-1.03455,0.691866,6.27321,794.938,650.387,-1.55388,0.433983,5.97177,699.566,612.737,-1.04988,0.712928,6.29936,793.188,653.275,-1.57476,0.448174,5.95155,695.168,615.371,-1.02147,0.688534,6.24696,796.34,650.317,-1.5242,0.415848,5.97714,704.769,609.635,-0.927198,0.927305,6.22015,810.804,689.213,-1.42275,0.280978,5.8052,714.701,588.444,-0.995565,1.74495,5.98346,793.466,831.888,-1.33119,1.75284,6.22882,746.095,821.657,-0.954838,1.75785,6.04868,802.001,830.875,-1.40014,1.7588,6.26417,736.286,821.02,-1.07646,1.74848,6.18848,785.901,822.788,-1.36754,1.73713,6.44606,747.66,809.726,-0.975201,1.7514,6.01607,797.757,831.379,-1.36567,1.75582,6.2465,741.177,821.338
2,0.0333333,1,615.944,739.15,-1.05251,0.655489,3.08201,618.196,752.871,-1.12225,0.659721,3.10966,598.789,752.34,-0.982771,0.651257,3.05437,637.955,753.411,-1.07916,0.25713,3.10831,612.506,622.797,-1.09058,0.0864052,3.11957,610.097,567.722,-1.22552,1.05952,3.24832,582.388,866.463,-0.888997,1.07627,3.03697,667.015,894.703,-1.37677,1.4418,3.19867,529.2,991.151,-0.835252,1.46599,2.91192,672.907,1043.89,-1.30794,1.50207,3.3485,569.049,988.977,-0.762539,1.53283,3.05942,710.536,1041.46,-1.09792,-0.0585253,3.27138,624.087,522.094,-1.25712,0.150233,3.13488,558.634,587.965,-0.934362,0.120962,3.02537,650.884,580.018,-1.25305,0.11532,3.15767,562.821,576.553,-0.925564,0.0884192,3.04776,656.045,569.037,-1.29203,0.424624,3.16053,550.835,674.471,-0.888558,0.384497,2.95177,658.707,670.375,-1.3002,0.455494,3.15329,547.305,684.578,-0.886696,0.41231,2.93381,657.498,680.662,-1.27178,0.401649,3.18192,559.956,666.34,-0.892152,0.36814,2.98267,660.623,663.535,-1.1821,0.46667,3.39646,611.653,677.521,-0.83719,0.482364,3.18878,697.225,691.403,-1.26894,1.50142,3.34723,580.562,988.953,-0.78766,1.53075,3.08904,704.789,1035.98,-1.34693,1.50271,3.34977,557.546,989,-0.737417,1.53491,3.0298,716.396,1047.05,-1.40537,1.4874,3.17344,516.753,1009.12,-0.836402,1.51172,2.87414,668.733,1066.44,-1.30794,1.50207,3.3485,569.049,988.977,-0.762539,1.53283,3.05942,710.536,1041.46
2,0.0333333,2,761.913,678.427,-1.23656,0.891115,6.21429,760.837,683.525,-1.1595,0.890953,6.22759,773.647,683.192,-1.31362,0.891277,6.20099,747.973,683.859,-1.2319,0.490703,6.18593,760.678,619.396,-1.2299,0.319098,6.17377,760.61,591.732,-1.08378,1.2949,6.1114,782.506,752.071,-1.32983,1.31601,6.2428,746.793,750.992,-1.05907,1.69388,6.13335,787.173,816.42,-1.35483,1.68647,6.39358,747.908,804.01,-0.968908,1.75001,5.99059,798.118,832.385,-1.36081,1.75035,6.23178,741.44,821.124,-1.22076,0.190253,6.00871,756.655,571.691,-1.07617,0.404726,6.24133,787.421,604.904,-1.40009,0.342799,6.17703,733.138,595.545,-1.06424,0.365355,6.22215,788.807,598.771,-1.38564,0.301138,6.16734,735.126,588.871,-1.03688,0.688974,6.24808,793.901,650.367,-1.54796,0.43162,5.95908,700.005,612.495,-1.04995,0.711759,6.27397,792.502,653.547,-1.56865,0.445012,5.93877,695.629,615,-1.02578,0.68362,6.22012,794.941,650.002,-1.51806,0.414044,5.96484,705.273,609.476,-0.935692,0.914241,6.16159,808.006,688.509,-1.41203,0.278206,5.80003,716.332,588.009,-0.989001,1.74379,5.95775,793.85,832.952,-1.32633,1.74737,6.21409,746.371,821.444,-0.948814,1.75623,6.02343,802.34,831.825,-1.3953,1.75334,6.24947,736.536,820.806,-1.07051,1.74221,6.16223,786.125,822.975,-1.3624,1.73151,6.43116,747.969,809.476,-0.968908,1.75001,5.99059,798.118,832.385,-1.36081,1.75035,6.23178,741.44,821.124
3,0.05,1,618.143,739.127,-1.04247,0.654868,3.06959,620.088,753.529,-1.11331,0.659208,3.09399,599.852,753.25,-0.97163,0.650528,3.0452,640.648,753.813,-1.0666,0.255811,3.09725,615.326,622.666,-1.07693,0.0847868,3.1091,613.312,567.295,-1.21306,1.0552,3.24075,585.353,865.891,-0.886329,1.07577,3.03137,667.355,895.194,-1.35315,1.44004,3.18632,534.95,992.347,-0.834396,1.46657,2.91225,673.234,1044.03,-1.30132,1.4922,3.34557,570.686,986.418,-0.765789,1.53317,3.06185,709.672,1041.18,-1.086,-0.0608442,3.26062,626.638,521.323,-1.24515,0.14732,3.12082,560.666,587.247,-0.919809,0.118711,3.01825,654.981,579.366,-1.24106,0.112473,3.14378,564.885,575.808,-0.911166,0.0865927,3.04113,660.121,568.499,-1.2798,0.421221,3.15035,553.399,673.825,-0.871879,0.379795,2.9381,662.988,669.38,-1.28683,0.452089,3.14597,550.597,683.832,-0.869249,0.407562,2.92179,662.23,679.614,-1.25947,0.39596,3.16964,562.293,665.033,-0.877018,0.36244,2.96843,664.29,662.206,-1.15985,0.431221,3.38394,616.944,667.545,-0.834583,0.459522,3.18332,697.594,684.481,-1.2624,1.49143,3.34859,582.672,985.786,-0.791659,1.531,3.09085,703.643,1035.77,-1.34025,1.49297,3.34255,558.679,987.051,-0.739919,1.53534,3.03285,715.815,1046.69,-1.37868,1.48685,3.16006,523.33,1010.93,-0.835141,1.51249,2.87467,669.225,1066.61,-1.30132,1.4922,3.34557,570.686,986.418,-0.765789,1.53317,3.06185,709.672,1041.18
3,0.05,2,762.999,678.622,-1.2314,0.892658,6.21634,761.733,683.726,-1.15422,0.892234,6.23059,774.585,683.329,-1.30858,0.893082,6.20208,748.822,684.125,-1.22559,0.491819,6.19088,761.857,619.513,-1.2231,0.320031,6.17997,761.911,591.831,-1.07767,1.29527,6.11427,783.59,752.031,-1.32474,1.31777,6.23676,747.403,751.478,-1.05858,1.69278,6.13784,787.38,816.038,-1.3538,1.6849,6.39064,747.971,803.886,-0.970057,1.75114,5.99525,798.052,832.347,-1.35916,1.75101,6.23011,741.647,821.305,-1.21315,0.188968,6.01627,758.177,571.437,-1.06682,0.408296,6.24187,788.935,605.47,-1.39302,0.341863,6.18734,734.661,595.301,-1.05548,0.368833,6.22283,790.235,599.324,-1.37864,0.300422,6.17686,736.607,588.68,-1.03644,0.6926,6.22721,793.416,651.32,-1.55188,0.435235,5.98073,700.289,612.837,-1.04689,0.718711,6.2509,792.374,655.079,-1.57171,0.447346,5.96056,696.082,615.118,-1.02755,0.683083,6.1981,794.069,650.306,-1.5219,0.41797,5.98688,705.569,609.876,-0.941051,0.894117,6.09469,805.458,686.834,-1.40913,0.275819,5.83692,718.369,587.296,-0.990243,1.74499,5.96243,793.772,832.924,-1.32453,1.74838,6.21261,746.611,821.674,-0.949871,1.75729,6.02808,802.286,831.776,-1.39379,1.75363,6.24761,736.71,820.938,-1.0707,1.74071,6.16707,786.231,822.509,-1.36195,1.72927,6.42898,747.967,809.218,-0.970057,1.75114,5.99525,798.052,832.347,-1.35916,1.75101,6.23011,741.647,821.305
4,0.0666667,1,619.948,735.92,-1.04586,0.648358,3.09775,622.08,749.485,-1.14098,0.654635,3.13008,595.158,749.329,-0.950752,0.64208,3.06542,649.571,749.645,-1.07377,0.253025,3.14268,618.025,620.584,-1.08573,0.0835969,3.16193,616.322,566.462,-1.216,1.04747,3.2446,584.892,863.119,-0.876245,1.04546,2.99617,667.286,889.24,-1.32824,1.44278,3.19938,544.476,991.357,-0.818619,1.42964,2.8576,673.276,1040.74,-1.29444,1.49261,3.36329,574.784,984.189,-0.756191,1.50064,3.00595,708.212,1039.67,-1.10018,-0.033277,3.31802,628.128,529.962,-1.25253,0.144415,3.17319,564.927,585.551,-0.928291,0.1187,3.07505,657.854,578.635,-1.25031,0.111858,3.19849,568.748,575.003,-0.917219,0.0874194,3.09836,663.703,568.24,-1.27849,0.422008,3.20098,560.241,671.954,-0.874094,0.383362,3.00237,668.607,667.8,-1.28562,0.452618,3.19662,557.462,681.718,-0.869373,0.410981,2.98683,668.673,677.72,-1.25754,0.396724,3.21884,568.974,663.36,-0.881844,0.36553,3.03152,668.851,660.683,-1.15072,0.433086,3.41055,622.303,667.097,-0.856058,0.451775,3.23541,695.176,679.758,-1.2563,1.49214,3.37114,587.008,983.015,-0.782925,1.50026,3.03409,701.728,1034.91,-1.33259,1.49308,3.35544,562.503,985.368,-0.729456,1.50103,2.9778,714.818,1044.52,-1.34953,1.49126,3.17184,534.151,1010.57,-0.818623,1.47493,2.81843,669.289,1063.78,-1.29444,1.49261,3.36329,574.784,984.189,-0.756191,1.50064,3.00595,708.212,1039.67
4,0.0666667,2,763.919,678.891,-1.22751,0.893769,6.21751,762.397,683.878,-1.15105,0.893002,6.2329,775.164,683.399,-1.30397,0.894535,6.20212,749.568,684.358,-1.21919,0.492288,6.19943,763.164,619.479,-1.21562,0.320225,6.19169,763.494,591.764,-1.07525,1.30018,6.12176,784.201,752.576,-1.32133,1.32194,6.23248,747.805,752.293,-1.061,1.69901,6.1512,787.36,816.453,-1.35417,1.68702,6.3941,748.028,804.074,-0.970458,1.75603,6.00997,798.382,832.446,-1.36013,1.75586,6.23527,741.672,821.85,-1.20678,0.188072,6.03016,759.699,571.216,-1.0606,0.410868,6.25248,790.221,605.771,-1.38363,0.340243,6.19778,736.555,594.946,-1.04862,0.371421,6.23385,791.637,599.634,-1.36947,0.298945,6.18733,738.469,588.359,-1.04111,0.697059,6.21867,792.435,652.191,-1.54385,0.437941,5.98953,702.013,613.183,-1.04841,0.726277,6.23896,791.808,656.513,-1.56363,0.450414,5.96944,697.829,615.52,-1.03542,0.68288,6.18917,792.557,650.432,-1.51419,0.420053,5.99541,707.218,610.125,-0.960589,0.866329,6.03751,800.756,683.618,-1.40552,0.275292,5.84249,719.218,587.161,-0.990221,1.74988,5.97692,794.179,833.033,-1.32552,1.75366,6.21773,746.627,822.292,-0.950696,1.76218,6.04301,802.539,831.865,-1.39474,1.75805,6.25282,736.745,821.411,-1.07364,1.74717,6.18025,786.125,822.952,-1.36259,1.73064,6.43352,748.017,809.242,-0.970458,1.75603,6.00997,798.382,832.446,-1.36013,1.75586,6.23527,741.672,821.85
