frame,time,id,pose_cx,pose_cy,pelvis_x,pelvis_y,pelvis_z,pelvis_u,pelvis_v,left_hip_x,left_hip_y,left_hip_z,left_hip_u,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_u,right_hip_v,spine3_x,spine3_y,spine3_z,spine3_u,spine3_v,neck_x,neck_y,neck_z,neck_u,neck_v,left_knee_x,left_knee_y,left_knee_z,left_knee_u,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_u,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_u,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_u,right_ankle_v,left_foot_x,left_foot_y,left_foot_z,left_foot_u,left_foot_v,right_foot_x,right_foot_y,right_foot_z,right_foot_u,right_foot_v,head_x,head_y,head_z,head_u,head_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_u,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_u,right_shoulder_v,left_acromion_x,left_acromion_y,left_acromion_z,left_acromion_u,left_acromion_v,right_acromion_x,right_acromion_y,right_acromion_z,right_acromion_u,right_acromion_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_u,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_u,right_elbow_v,left_olecranon_x,left_olecranon_y,left_olecranon_z,left_olecranon_u,left_olecranon_v,right_olecranon_x,right_olecranon_y,right_olecranon_z,right_olecranon_u,right_olecranon_v,left_cubital_fossa_x,left_cubital_fossa_y,left_cubital_fossa_z,left_cubital_fossa_u,left_cubital_fossa_v,right_cubital_fossa_x,right_cubital_fossa_y,right_cubital_fossa_z,right_cubital_fossa_u,right_cubital_fossa_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_u,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_u,right_wrist_v,left_big_toe_tip_x,left_big_toe_tip_y,left_big_toe_tip_z,left_big_toe_tip_u,left_big_toe_tip_v,right_big_toe_tip_x,right_big_toe_tip_y,right_big_toe_tip_z,right_big_toe_tip_u,right_big_toe_tip_v,left_small_toe_tip_x,left_small_toe_tip_y,left_small_toe_tip_z,left_small_toe_tip_u,left_small_toe_tip_v,right_small_toe_tip_x,right_small_toe_tip_y,right_small_toe_tip_z,right_small_toe_tip_u,right_small_toe_tip_v,left_heel_x,left_heel_y,left_heel_z,left_heel_u,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_u,right_heel_v,left_toe_x,left_toe_y,left_toe_z,left_toe_u,left_toe_v,right_toe_x,right_toe_y,right_toe_z,right_toe_u,right_toe_v
0,0,1,2752.14,1293.77,1.22337,0.289048,3.59491,2868.13,1304.02,1.22056,0.290577,3.51734,2886.81,1310.17,1.22619,0.287519,3.67249,2850.24,1298.13,0.984904,-0.0262139,3.60503,2681.18,1059.74,0.882704,-0.161326,3.60937,2601.37,955.47,1.09427,0.68038,3.55769,2776.95,1612.82,1.09664,0.649966,3.81868,2720.12,1554.22,1.13223,1.0607,3.60752,2794.43,1899.18,1.17129,1.01887,3.89447,2757.95,1808.9,0.963292,1.10702,3.59402,2666.75,1938.17,1.02941,1.07383,3.98385,2639.92,1830.99,0.687744,-0.227039,3.68459,2440.04,908.324,0.930087,-0.129323,3.42296,2677.05,974.737,0.926343,-0.0916278,3.78631,2601.64,1012.58,0.889976,-0.14572,3.42463,2644.04,961.449,0.890043,-0.111921,3.78828,2574.59,997.687,1.0631,0.106389,3.3655,2800.09,1168.07,1.03193,0.162094,3.79899,2676.8,1198.88,1.09864,0.116295,3.35964,2831.09,1176.44,1.05946,0.183467,3.81205,2694.33,1214.09,1.03028,0.113395,3.37522,2770.46,1173.6,1.00664,0.153725,3.77648,2662.65,1193.41,0.996245,0.350122,3.34693,2749.31,1371.46,0.925804,0.34837,3.66746,2623.32,1344.65,0.942677,1.09778,3.62611,2644.31,1923.48,0.997894,1.07489,3.96071,2621.96,1836.12,0.983906,1.11626,3.56193,2689.61,1953.13,1.06093,1.07278,4.00698,2657.68,1825.92,1.16306,1.109,3.61138,2817.28,1935.57,1.20805,1.06304,3.89451,2784.24,1840.5,0.963292,1.10702,3.59402,2666.75,1938.17,1.02941,1.07383,3.98385,2639.92,1830.99
0,0,2,1685.22,1169.4,-0.464082,0.116331,3.87893,1586.66,1163.56,-0.435173,0.111558,3.94805,1612.9,1158.73,-0.492991,0.121105,3.80982,1559.48,1168.56,-0.244657,-0.166049,3.75191,1738.32,956.694,-0.150617,-0.287069,3.69747,1806.51,863.688,-0.241145,0.496734,4.01325,1752.59,1424.85,-0.360611,0.50479,3.65007,1644.74,1465.31,-0.219141,0.902705,4.11596,1771.66,1691.05,-0.483391,0.904894,3.61899,1547.86,1776.64,-0.0475985,0.961715,4.10907,1887.73,1732.08,-0.337946,0.965843,3.53994,1654.02,1840.17,0.0315863,-0.318912,3.61235,1944.36,834.03,-0.117005,-0.255682,3.88924,1836.18,896.838,-0.273946,-0.227152,3.55729,1705.44,902.091,-0.0824851,-0.271445,3.86977,1860.61,884.567,-0.239122,-0.24177,3.53833,1731.71,889.628,-0.22349,0.000727892,3.98994,1763.94,1080.51,-0.464555,-0.00409281,3.57434,1557.89,1076.81,-0.25319,0.00659657,4.01376,1744.25,1084.58,-0.50359,4.35114e-05,3.57774,1527.84,1080.03,-0.202451,0.0115142,3.96732,1777.83,1088.09,-0.432947,0.00676966,3.57697,1582.78,1085.27,-0.207239,0.283154,4.0031,1775.76,1277.07,-0.4585,0.277286,3.57302,1562.48,1296.22,-0.0335011,0.960569,4.07259,1897.08,1737.14,-0.307376,0.96306,3.56399,1679.71,1832.86,-0.0616958,0.962861,4.14555,1878.54,1727.11,-0.368516,0.968626,3.51589,1627.97,1847.57,-0.247004,0.951161,4.13164,1753.44,1721.4,-0.521403,0.951434,3.62041,1518.75,1812.19,-0.0475985,0.961715,4.10907,1887.73,1732.08,-0.337946,0.965843,3.53994,1654.02,1840.17
1,0.0333667,1,2752.22,1294.46,1.22268,0.289751,3.59278,2868.16,1304.7,1.22027,0.291159,3.5152,2887.18,1310.77,1.2251,0.288343,3.67035,2849.96,1298.88,0.98421,-0.0255959,3.60263,2681.15,1060.21,0.882008,-0.160745,3.60685,2601.31,955.832,1.09434,0.681098,3.5556,2777.51,1613.7,1.09637,0.651303,3.81606,2720.46,1555.52,1.1323,1.06069,3.60664,2794.7,1899.38,1.17093,1.01908,3.89447,2757.69,1809.05,0.963501,1.10697,3.5923,2667.27,1938.55,1.0286,1.07382,3.98321,2639.47,1831.11,0.687313,-0.226263,3.68188,2440.1,908.784,0.92928,-0.128632,3.42042,2676.95,975.222,0.925197,-0.0914241,3.78381,2601.25,1012.68,0.889227,-0.14496,3.42209,2643.97,961.98,0.888923,-0.111716,3.78564,2574.22,997.781,1.0633,0.106334,3.36405,2800.63,1168.07,1.03136,0.161674,3.79766,2676.65,1198.61,1.0988,0.11617,3.35816,2831.63,1176.38,1.05893,0.18285,3.81094,2694.17,1213.68,1.03051,0.113372,3.37392,2770.98,1173.62,1.00616,0.153511,3.77503,2662.59,1193.3,0.996643,0.349772,3.34746,2749.52,1371.12,0.92707,0.348759,3.6667,2624.43,1345,0.942713,1.09767,3.62426,2644.7,1923.82,0.997243,1.07507,3.95987,2621.65,1836.41,0.984288,1.11628,3.56035,2690.25,1953.53,1.05995,1.07258,4.00655,2657.08,1825.87,1.16313,1.10893,3.61079,2817.48,1935.66,1.20778,1.06311,3.89505,2783.92,1840.44,0.963501,1.10697,3.5923,2667.27,1938.55,1.0286,1.07382,3.98321,2639.47,1831.11
1,0.0333667,2,1684.39,1169.55,-0.465966,0.116896,3.8845,1585.79,1163.84,-0.437415,0.111821,3.95296,1611.7,1158.81,-0.494518,0.121971,3.81604,1558.95,1169.05,-0.246009,-0.165487,3.75728,1737.58,957.287,-0.151741,-0.286509,3.70277,1805.82,864.418,-0.243652,0.4976,4.01621,1750.97,1425.19,-0.361578,0.504747,3.65423,1644.32,1464.84,-0.220144,0.903377,4.11831,1771.07,1691.15,-0.481889,0.904908,3.61803,1548.91,1776.84,-0.0487053,0.96398,4.10862,1886.97,1733.69,-0.336719,0.965148,3.5365,1654.73,1840.36,0.0307114,-0.318826,3.61713,1943.66,834.422,-0.118484,-0.256797,3.8932,1835.21,896.226,-0.274792,-0.226151,3.56374,1705.17,903.196,-0.0837403,-0.272338,3.87394,1859.77,884.136,-0.24004,-0.24068,3.54436,1731.31,890.808,-0.224093,0.00026989,3.99221,1763.61,1080.19,-0.465515,-0.0037744,3.58211,1557.93,1077.06,-0.253678,0.00646567,4.01587,1744,1084.49,-0.504371,0.000426888,3.58573,1528.1,1080.33,-0.203033,0.010855,3.96961,1777.5,1087.62,-0.433977,0.00711036,3.58454,1582.69,1085.53,-0.206376,0.284164,4.00352,1776.38,1277.75,-0.459021,0.279057,3.58069,1562.84,1297.13,-0.0351923,0.962513,4.07193,1895.92,1738.58,-0.305866,0.962318,3.56017,1680.64,1833.09,-0.0622182,0.965447,4.14531,1878.18,1728.89,-0.367571,0.967978,3.51283,1628.47,1847.73,-0.24808,0.951329,4.13443,1752.82,1721.08,-0.519555,0.951437,3.61961,1520.08,1812.35,-0.0487053,0.96398,4.10862,1886.97,1733.69,-0.336719,0.965148,3.5365,1654.73,1840.36
2,0.0667333,1,2778.88,1295.64,1.25001,0.287555,3.56354,2897.31,1304.82,1.24593,0.288794,3.48542,2915.95,1310.85,1.25409,0.286316,3.64165,2879.47,1299.05,1.0106,-0.024449,3.57706,2707.14,1060.96,0.907996,-0.158165,3.58285,2626.08,957.007,1.11938,0.678261,3.53458,2802.35,1614.64,1.12467,0.65085,3.78476,2747.92,1559.12,1.153,1.0596,3.59481,2813.62,1901.23,1.24553,1.01473,3.83177,2825.64,1817.82,0.983852,1.10716,3.58658,2684.27,1940.06,1.11952,1.08814,3.92982,2713.71,1851.46,0.714518,-0.225925,3.66066,2463.82,908.049,0.948588,-0.123622,3.39574,2698.29,978.572,0.957026,-0.0922593,3.75908,2629.32,1011.62,0.908431,-0.139538,3.39834,2664.78,965.6,0.92053,-0.112049,3.76205,2601.73,997.018,1.08199,0.111403,3.33672,2823.45,1173.02,1.06597,0.160277,3.77376,2706.99,1198.33,1.11704,0.121296,3.32851,2855.02,1181.53,1.094,0.180799,3.78784,2724.69,1212.99,1.04989,0.118322,3.34922,2793.37,1178.43,1.04114,0.152796,3.75057,2693.41,1193.5,1.01436,0.355679,3.33286,2767.96,1377.33,0.97149,0.352393,3.64154,2663.28,1349.61,0.963931,1.09729,3.61894,2662.1,1924.77,1.08633,1.09174,3.90942,2694.2,1858.05,1.00377,1.11703,3.55422,2706.85,1955.63,1.15272,1.08454,3.95023,2733.02,1844.93,1.18396,1.10794,3.59949,2836.43,1937.58,1.28715,1.05468,3.82586,2857.35,1848.05,0.983852,1.10716,3.58658,2684.27,1940.06,1.11952,1.08814,3.92982,2713.71,1851.46
2,0.0667333,2,1700.17,1168.83,-0.446189,0.115491,3.91322,1602.32,1162.23,-0.416321,0.109664,3.98148,1628.67,1156.74,-0.476057,0.121318,3.84495,1575.04,1167.91,-0.224192,-0.164701,3.78314,1754.89,958.704,-0.12905,-0.284784,3.72739,1823.54,867.132,-0.226049,0.498255,4.03862,1764.06,1423.73,-0.345892,0.501881,3.67555,1657.81,1460.43,-0.24634,0.905786,4.14533,1754.43,1688.79,-0.459704,0.905821,3.63357,1567.51,1774.56,-0.0778573,0.972625,4.13589,1867.55,1735.2,-0.315282,0.965286,3.54814,1672.43,1837.98,0.0538578,-0.318364,3.63849,1961.24,836.218,-0.0938919,-0.253322,3.91766,1853.23,899.845,-0.254782,-0.226292,3.58939,1722.24,904.35,-0.0592674,-0.268523,3.89801,1877.64,888.072,-0.219963,-0.240533,3.56974,1748.32,892.268,-0.204327,0.00404668,4.01696,1778.28,1082.81,-0.450192,-0.00565028,3.60829,1572.39,1075.64,-0.2336,0.010003,4.0412,1758.95,1086.9,-0.488983,-0.0012176,3.61211,1542.83,1079.06,-0.183908,0.0148629,3.99378,1791.7,1090.37,-0.41839,0.00531566,3.61044,1597.14,1084.1,-0.192399,0.291278,4.02469,1786.81,1281.64,-0.440048,0.279862,3.60511,1579.92,1296.28,-0.0645411,0.971942,4.09911,1876.13,1740.62,-0.283882,0.962026,3.57103,1698.51,1830.57,-0.0911735,0.973309,4.17268,1859.12,1729.88,-0.346683,0.968547,3.52525,1646.01,1845.47,-0.277404,0.952047,4.16222,1734.31,1717.28,-0.496653,0.952796,3.63577,1539.41,1810.14,-0.0778573,0.972625,4.13589,1867.55,1735.2,-0.315282,0.965286,3.54814,1672.43,1837.98
3,0.1001,1,2804.59,1296.95,1.27944,0.287704,3.551,2923.85,1305.73,1.27264,0.289239,3.47279,2941.01,1312.05,1.28624,0.286169,3.62921,2907.44,1299.69,1.03986,-0.0232626,3.56861,2731.85,1061.84,0.937181,-0.156534,3.57616,2650.14,958.047,1.15657,0.680212,3.53829,2830.71,1615.61,1.15271,0.651778,3.7675,2772.45,1562,1.17474,1.06147,3.60739,2827.3,1899.81,1.30777,1.00653,3.76297,2888.28,1825.24,1.00552,1.11286,3.60706,2696.67,1939.58,1.1998,1.10045,3.86333,2785.26,1873.61,0.743888,-0.227077,3.65497,2487.05,906.903,0.973428,-0.12044,3.38926,2720.2,980.993,0.990579,-0.0923891,3.75115,2655.74,1011.38,0.933087,-0.136362,3.39241,2686.33,968.008,0.953883,-0.111863,3.75522,2627.72,997.005,1.10527,0.11748,3.32743,2845.47,1178.37,1.10103,0.162155,3.76123,2735.58,1200.12,1.13984,0.128177,3.31868,2876.93,1187.61,1.12875,0.18339,3.77443,2753.2,1215.37,1.07314,0.123793,3.34045,2815.06,1183.25,1.07597,0.153879,3.73847,2721.87,1194.68,1.03094,0.361567,3.32486,2783.89,1382.98,1.00036,0.350026,3.62443,2688.98,1349.07,0.986665,1.10277,3.63996,2675.22,1924.09,1.16528,1.1057,3.8457,2764.22,1881.05,1.02438,1.12295,3.57415,2718.52,1955.37,1.23431,1.09521,3.88097,2806.11,1866.24,1.20576,1.10939,3.61215,2850.02,1935.69,1.3523,1.04124,3.74836,2925.15,1853.94,1.00552,1.11286,3.60706,2696.67,1939.58,1.1998,1.10045,3.86333,2785.26,1873.61
3,0.1001,2,1715,1170.16,-0.425113,0.116389,3.92919,1618.56,1162.53,-0.394534,0.110996,3.99763,1645.03,1157.36,-0.455691,0.121783,3.86074,1591.15,1167.88,-0.201751,-0.162215,3.79971,1772.07,961.056,-0.106025,-0.281617,3.74422,1841.11,870.445,-0.217141,0.505865,4.06041,1771,1427.11,-0.327923,0.501043,3.6842,1672.01,1458.91,-0.270158,0.910572,4.17148,1739.56,1688.17,-0.439143,0.906581,3.64096,1583.96,1773.73,-0.103152,0.979026,4.16905,1851.06,1734.27,-0.293199,0.966591,3.55813,1690.42,1836.87,0.0757063,-0.31648,3.65086,1977.77,838.482,-0.0694822,-0.248446,3.93361,1870.79,904.029,-0.23302,-0.225659,3.6069,1740.01,905.691,-0.0347722,-0.263297,3.91383,1895.25,892.568,-0.198056,-0.239742,3.58714,1766.17,893.793,-0.182911,0.00755811,4.03129,1793.59,1085.22,-0.43027,-0.00718904,3.62175,1589,1074.47,-0.211897,0.0133163,4.05583,1774.44,1089.15,-0.469052,-0.00297749,3.62513,1559.51,1077.71,-0.162998,0.018454,4.00774,1806.69,1092.83,-0.398579,0.0040319,3.62411,1613.58,1083.1,-0.175334,0.294916,4.03541,1798.95,1283.62,-0.421328,0.278213,3.61571,1595.34,1294.38,-0.0886102,0.979043,4.13274,1860.26,1740.03,-0.262154,0.962979,3.58144,1716.06,1829.13,-0.117694,0.979008,4.20537,1842.03,1728.61,-0.324243,0.970203,3.53482,1664.43,1844.71,-0.303563,0.955953,4.18782,1718.04,1715.99,-0.475934,0.953693,3.64303,1556.01,1809.37,-0.103152,0.979026,4.16905,1851.06,1734.27,-0.293199,0.966591,3.55813,1690.42,1836.87
4,0.133467,1,2829.56,1299.47,1.30743,0.289649,3.54149,2948.56,1307.87,1.2986,0.291434,3.46367,2964.57,1314.43,1.31625,0.287864,3.61931,2933.24,1301.6,1.06872,-0.0219899,3.56213,2755.9,1062.8,0.966423,-0.155549,3.57097,2674.02,958.638,1.18683,0.68362,3.53845,2854.49,1618.27,1.18755,0.657857,3.75509,2801.12,1568.1,1.19303,1.06635,3.61215,2840.21,1902.5,1.38326,0.993152,3.72571,2954.41,1822.69,1.02282,1.11497,3.61529,2708.23,1939.25,1.28506,1.1048,3.81627,2858.17,1886.57,0.773377,-0.225667,3.64869,2510.55,907.682,0.998899,-0.117565,3.38435,2742.33,983.216,1.02381,-0.0924525,3.74544,2681.58,1011.23,0.95863,-0.133486,3.38779,2708.38,970.221,0.987075,-0.111918,3.75051,2653.26,996.86,1.1289,0.122938,3.32465,2866.04,1183.02,1.13415,0.163649,3.75206,2762.17,1201.52,1.1631,0.134352,3.31549,2897.39,1192.9,1.16287,0.184361,3.76475,2780.59,1216.44,1.09676,0.128645,3.3381,2835.41,1187.37,1.10822,0.156243,3.73024,2747.73,1196.7,1.04893,0.366368,3.32476,2798.99,1387.01,1.03334,0.359599,3.62499,2714.21,1356.38,1.00473,1.10434,3.64846,2687.26,1923.32,1.25148,1.11221,3.79765,2838.14,1895.97,1.0409,1.12559,3.58213,2729.6,1955.47,1.31864,1.09738,3.8349,2878.02,1877.27,1.22304,1.11502,3.6168,2862.14,1938.93,1.43173,1.02166,3.70891,2995.51,1847.47,1.02282,1.11497,3.61529,2708.23,1939.25,1.28506,1.1048,3.81627,2858.17,1886.57
4,0.133467,2,1729.97,1172.14,-0.402165,0.118871,3.9336,1635.15,1164.19,-0.371654,0.113999,4.00198,1661.26,1159.36,-0.432675,0.123743,3.86521,1608.12,1169.2,-0.177167,-0.159499,3.80399,1790.24,963.18,-0.0807399,-0.278801,3.74845,1859.99,872.775,-0.21192,0.512839,4.07102,1774.97,1430.98,-0.310229,0.502151,3.68867,1685.68,1459.28,-0.268714,0.914744,4.1799,1740.89,1689.72,-0.42034,0.905392,3.64927,1599.08,1771.24,-0.100451,0.978372,4.18245,1853.09,1731.74,-0.276501,0.965766,3.56346,1703.82,1835.09,0.0973049,-0.31349,3.64868,1994.3,840.62,-0.0414346,-0.246428,3.93841,1890.69,905.671,-0.208556,-0.222491,3.61155,1759.11,908.36,-0.00709158,-0.260696,3.91809,1914.96,894.621,-0.173745,-0.236337,3.59183,1785.23,896.677,-0.157478,0.00774825,4.03698,1811.32,1085.35,-0.409839,-0.00811028,3.62536,1605.03,1073.77,-0.186051,0.01292,4.06241,1792.4,1088.86,-0.448813,-0.00463712,3.62899,1575.43,1076.44,-0.138462,0.0189513,4.01271,1823.86,1093.16,-0.378159,0.0037421,3.62744,1629.55,1082.87,-0.157485,0.294598,4.03894,1811.36,1283.22,-0.405612,0.276702,3.61717,1607.58,1293.13,-0.084886,0.978452,4.14653,1862.96,1737.44,-0.244912,0.962217,3.58608,1729.72,1827.57,-0.116016,0.978292,4.21837,1843.37,1726.14,-0.30809,0.969315,3.54084,1677.58,1842.71,-0.301884,0.960639,4.19537,1719.52,1717.96,-0.457205,0.952253,3.6525,1571.24,1806.38,-0.100451,0.978372,4.18245,1853.09,1731.74,-0.276501,0.965766,3.56346,1703.82,1835.09
