frame,time,id,pose_cx,pose_cy,pelvis_x,pelvis_y,pelvis_z,pelvis_u,pelvis_v,left_hip_x,left_hip_y,left_hip_z,left_hip_u,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_u,right_hip_v,spine3_x,spine3_y,spine3_z,spine3_u,spine3_v,neck_x,neck_y,neck_z,neck_u,neck_v,left_knee_x,left_knee_y,left_knee_z,left_knee_u,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_u,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_u,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_u,right_ankle_v,left_foot_x,left_foot_y,left_foot_z,left_foot_u,left_foot_v,right_foot_x,right_foot_y,right_foot_z,right_foot_u,right_foot_v,head_x,head_y,head_z,head_u,head_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_u,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_u,right_shoulder_v,left_acromion_x,left_acromion_y,left_acromion_z,left_acromion_u,left_acromion_v,right_acromion_x,right_acromion_y,right_acromion_z,right_acromion_u,right_acromion_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_u,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_u,right_elbow_v,left_olecranon_x,left_olecranon_y,left_olecranon_z,left_olecranon_u,left_olecranon_v,right_olecranon_x,right_olecranon_y,right_olecranon_z,right_olecranon_u,right_olecranon_v,left_cubital_fossa_x,left_cubital_fossa_y,left_cubital_fossa_z,left_cubital_fossa_u,left_cubital_fossa_v,right_cubital_fossa_x,right_cubital_fossa_y,right_cubital_fossa_z,right_cubital_fossa_u,right_cubital_fossa_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_u,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_u,right_wrist_v,left_big_toe_tip_x,left_big_toe_tip_y,left_big_toe_tip_z,left_big_toe_tip_u,left_big_toe_tip_v,right_big_toe_tip_x,right_big_toe_tip_y,right_big_toe_tip_z,right_big_toe_tip_u,right_big_toe_tip_v,left_small_toe_tip_x,left_small_toe_tip_y,left_small_toe_tip_z,left_small_toe_tip_u,left_small_toe_tip_v,right_small_toe_tip_x,right_small_toe_tip_y,right_small_toe_tip_z,right_small_toe_tip_u,right_small_toe_tip_v,left_heel_x,left_heel_y,left_heel_z,left_heel_u,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_u,right_heel_v,left_toe_x,left_toe_y,left_toe_z,left_toe_u,left_toe_v,right_toe_x,right_toe_y,right_toe_z,right_toe_u,right_toe_v
0,0,1,202.927,546.315,-3.58378,0.0563714,4.38007,202.256,551.919,-3.52169,0.0604092,4.42293,222.598,552.649,-3.64587,0.0523336,4.33722,181.511,551.175,-3.4615,-0.305406,4.28484,211.844,473.991,-3.40909,-0.460454,4.24403,216.085,439.522,-3.41474,0.449742,4.26312,218.189,637.701,-3.56813,0.450474,4.1823,169.888,639.751,-3.42464,0.838554,4.33192,227.854,719.273,-3.73624,0.777702,4.32479,159.922,706.537,-3.37199,0.917282,4.18564,213.915,742.957,-3.71589,0.899932,4.20618,141.84,738.146,-3.25241,-0.502328,4.12876,230.46,427.324,-3.32571,-0.413731,4.38881,258.22,452.696,-3.57564,-0.433311,4.17665,167.156,443.92,-3.29908,-0.436871,4.36672,260.319,447.347,-3.55438,-0.461421,4.14923,166.66,437.011,-3.38934,-0.175534,4.50729,263.593,503.933,-3.71711,-0.204783,4.17282,135.029,494.551,-3.40667,-0.161046,4.53275,263.964,507.096,-3.73598,-0.181181,4.17958,132.181,499.854,-3.3734,-0.172867,4.47733,262.231,504.243,-3.69046,-0.217278,4.15591,137.611,491.581,-3.30488,0.0499387,4.42762,268.728,550.446,-3.61296,-0.122495,3.95807,114.638,511.339,-3.398,0.912182,4.15719,203.016,743.21,-3.67884,0.91118,4.2048,149.733,740.688,-3.34598,0.922382,4.21408,224.668,742.708,-3.75295,0.888683,4.20756,133.952,735.605,-3.43163,0.881853,4.36961,232.688,726.903,-3.77312,0.800186,4.36499,159.464,709.774,-3.37199,0.917282,4.18564,213.915,742.957,-3.71589,0.899932,4.20618,141.84,738.146
0,0,2,835.378,539.555,-0.847541,0.04852,6.59043,840.9,546.818,-0.817309,0.0562323,6.51827,843.877,547.989,-0.877772,0.0408077,6.66258,837.988,545.672,-0.905024,-0.333675,6.51446,831.34,492.564,-0.92966,-0.497473,6.4819,827.173,468.923,-0.989408,0.411063,6.43221,817.545,599.185,-0.800372,0.420584,6.77532,850.598,597.489,-1.01935,0.79676,6.42701,813.114,654.811,-0.553269,0.691488,6.89889,885.729,632.826,-1.16681,0.842191,6.34138,789.597,662.996,-0.657933,0.827402,6.9214,871.966,650.71,-1.05086,-0.594528,6.36669,807.139,453.519,-0.797307,-0.454836,6.38122,844.286,473.989,-1.01833,-0.480332,6.64015,817.972,473.007,-0.817877,-0.484644,6.36096,840.923,469.439,-1.03585,-0.51214,6.62095,815.11,468.364,-0.643455,-0.241549,6.34535,866.087,504.746,-1.09719,-0.252584,6.7533,809.537,505.362,-0.622691,-0.218622,6.3446,869.107,508.088,-1.10199,-0.226759,6.77206,809.298,508.99,-0.680188,-0.25126,6.34432,860.71,503.322,-1.09633,-0.268424,6.72155,808.945,503.016,-0.852644,-0.145223,6.25877,833.834,518.511,-1.2151,-0.203747,6.54622,788.096,511.175,-1.19893,0.834558,6.36265,785.49,661.473,-0.671276,0.840331,6.88694,869.731,653.002,-1.13468,0.849824,6.32011,793.731,664.528,-0.644589,0.814474,6.95586,874.179,648.44,-0.993104,0.847034,6.43753,817.131,661.855,-0.499199,0.70755,6.91674,893.16,634.737,-1.16681,0.842191,6.34138,789.597,662.996,-0.657933,0.827402,6.9214,871.966,650.71
1,0.0166667,1,199.251,545.817,-3.57876,0.0524055,4.34884,197.883,551.16,-3.5189,0.055205,4.39533,218.555,551.632,-3.63861,0.049606,4.30236,176.765,550.678,-3.45305,-0.305828,4.24874,207.328,473.338,-3.39918,-0.459357,4.20585,211.513,438.851,-3.40199,0.446139,4.2417,217.227,637.408,-3.55662,0.450262,4.1512,166.536,640.451,-3.4191,0.834169,4.32716,228.235,718.531,-3.75209,0.774296,4.27208,146.614,707.854,-3.32807,0.909178,4.19944,226.054,740.503,-3.69892,0.898792,4.16716,137.951,739.748,-3.2434,-0.501302,4.087,225.047,426.405,-3.31648,-0.416,4.35376,254.534,451.51,-3.56327,-0.432075,4.13476,161.892,443.223,-3.2897,-0.438219,4.33114,256.576,446.297,-3.54123,-0.459028,4.10726,161.519,436.498,-3.38561,-0.18083,4.4734,259.091,502.564,-3.70594,-0.204608,4.14033,131.053,494.233,-3.40171,-0.165389,4.4986,259.702,505.952,-3.72539,-0.181643,4.14715,128.072,499.437,-3.37104,-0.179326,4.44205,257.181,502.613,-3.67792,-0.215809,4.12473,134.208,491.545,-3.30697,0.0373664,4.37072,259.287,547.918,-3.58409,-0.109458,3.94072,117.701,514.276,-3.3469,0.905826,4.16558,215.901,741.388,-3.66188,0.90742,4.17464,147.641,741.304,-3.30924,0.912529,4.23331,236.044,739.632,-3.73596,0.890165,4.15969,128.226,738.186,-3.43205,0.877611,4.36366,231.606,726.258,-3.79663,0.797283,4.30383,143.03,711.562,-3.32807,0.909178,4.19944,226.054,740.503,-3.69892,0.898792,4.16716,137.951,739.748
1,0.0166667,2,831.207,541.092,-0.8714,0.0598184,6.55546,836.894,548.451,-0.840117,0.0670586,6.48385,840.003,549.578,-0.902683,0.0525782,6.62707,833.853,547.348,-0.926651,-0.321782,6.47945,827.553,494.008,-0.950331,-0.485325,6.44688,823.482,470.282,-1.01531,0.414483,6.39176,812.89,600.055,-0.830584,0.430176,6.73707,845.824,599.134,-1.02437,0.798022,6.40206,811.816,655.44,-0.567977,0.681837,6.85893,883.31,632.063,-1.16415,0.850244,6.30961,789.128,664.797,-0.657573,0.826888,6.88728,871.578,651.189,-1.06956,-0.586493,6.33212,803.571,454.222,-0.818832,-0.439963,6.34586,840.5,475.792,-1.03997,-0.466077,6.60461,814.174,474.646,-0.838618,-0.47013,6.32522,837.213,471.166,-1.05773,-0.498194,6.58609,811.266,469.946,-0.669044,-0.224302,6.31009,861.807,507.08,-1.11758,-0.237644,6.71614,805.894,507.23,-0.647952,-0.201254,6.30958,864.895,510.46,-1.1221,-0.211855,6.73549,805.714,510.871,-0.705668,-0.234148,6.30821,856.401,505.625,-1.11668,-0.253089,6.68422,805.282,504.934,-0.872887,-0.128108,6.2156,829.942,520.912,-1.23308,-0.182557,6.51115,784.614,514.034,-1.19768,0.843285,6.32885,784.741,663.399,-0.67063,0.841781,6.8535,869.378,653.749,-1.13063,0.857203,6.29036,793.541,666.203,-0.644517,0.811996,6.92105,873.757,648.654,-0.996457,0.84672,6.41555,816.157,662.228,-0.512286,0.692229,6.87527,890.994,633.244,-1.16415,0.850244,6.30961,789.128,664.797,-0.657573,0.826888,6.88728,871.578,651.189
2,0.0333333,1,195.46,545.978,-3.6094,0.0521891,4.35708,192.811,551.093,-3.55478,0.0548976,4.4074,213.045,551.535,-3.66401,0.0494805,4.30675,172.103,550.64,-3.48278,-0.308185,4.25971,202.804,472.997,-3.42851,-0.462631,4.21799,207.228,438.424,-3.43549,0.453136,4.28374,217.273,637.965,-3.59473,0.457181,4.176,162.797,641.389,-3.46478,0.84007,4.37256,226.157,717.928,-3.80905,0.781109,4.26245,132.399,709.713,-3.34541,0.923404,4.27518,235.3,740.033,-3.72843,0.908671,4.18032,134.002,741.308,-3.27287,-0.503719,4.09898,220.539,426.191,-3.34784,-0.419914,4.37152,250.757,451.041,-3.58823,-0.432012,4.13725,156.785,443.295,-3.32109,-0.442242,4.34897,252.777,445.825,-3.565,-0.458696,4.11107,156.904,436.669,-3.41803,-0.182098,4.48552,254.29,502.403,-3.72542,-0.198804,4.14052,126.735,495.533,-3.43317,-0.164952,4.51003,255.017,506.128,-3.74706,-0.176257,4.14875,123.557,500.655,-3.40495,-0.182733,4.45279,251.824,501.994,-3.6961,-0.207951,4.1258,130.343,493.322,-3.34844,0.0273664,4.35483,247.912,545.82,-3.6009,-0.0706804,3.9586,117.572,523.464,-3.35532,0.922298,4.23758,226.704,741.566,-3.69378,0.914937,4.19656,144.843,741.912,-3.33551,0.92451,4.31278,243.746,738.526,-3.76307,0.902405,4.16408,123.075,740.699,-3.48602,0.881594,4.40677,227.391,725.273,-3.85898,0.804589,4.28399,125.768,713.936,-3.34541,0.923404,4.27518,235.3,740.033,-3.72843,0.908671,4.18032,134.002,741.308
2,0.0333333,2,826.77,541.599,-0.906411,0.0591528,6.57752,832.378,548.329,-0.875396,0.0666053,6.50514,835.373,549.482,-0.937426,0.0517003,6.6499,829.448,547.2,-0.956661,-0.318497,6.50088,823.715,494.627,-0.978197,-0.480348,6.46803,819.939,471.223,-1.05111,0.417148,6.41686,808.299,600.205,-0.873355,0.435458,6.75075,840.188,599.739,-1.0386,0.803704,6.44071,810.659,655.565,-0.591493,0.672702,6.86929,880.255,630.693,-1.17624,0.861016,6.34863,788.415,665.601,-0.663054,0.828756,6.89427,870.932,651.327,-1.09782,-0.58358,6.35558,800.03,454.963,-0.849899,-0.429531,6.36143,836.27,477.468,-1.06619,-0.461676,6.62868,811.04,475.498,-0.869229,-0.459468,6.3408,833.044,472.892,-1.08438,-0.493624,6.61106,808.094,470.851,-0.703265,-0.208364,6.33057,857.118,509.518,-1.1403,-0.228281,6.73953,803.306,508.631,-0.68272,-0.184609,6.33034,860.12,512.992,-1.14302,-0.201968,6.76041,803.417,512.332,-0.739922,-0.219236,6.3293,851.734,507.921,-1.14139,-0.243418,6.70707,802.398,506.389,-0.914243,-0.114947,6.24438,824.408,522.952,-1.26731,-0.159079,6.54401,780.65,517.487,-1.21003,0.854892,6.36782,784.017,664.332,-0.674438,0.844309,6.86013,868.952,653.981,-1.14245,0.86714,6.32945,792.838,666.878,-0.651671,0.813203,6.92842,872.892,648.7,-1.00855,0.85157,6.45521,815.307,662.172,-0.534662,0.677389,6.88527,888.085,631.113,-1.17624,0.861016,6.34863,788.415,665.601,-0.663054,0.828756,6.89427,870.932,651.327
3,0.05,1,191.676,546.895,-3.636,0.0580225,4.35748,187.227,552.332,-3.58739,0.0602627,4.41235,207.04,552.649,-3.68462,0.0557824,4.30261,166.907,552.007,-3.51039,-0.305539,4.2663,197.978,473.675,-3.45656,-0.461351,4.22723,202.728,438.926,-3.43239,0.447947,4.28488,218.142,636.817,-3.61372,0.468834,4.18041,159.431,643.864,-3.47762,0.841333,4.36028,221.363,718.697,-3.85556,0.783856,4.2497,119.783,710.821,-3.3379,0.919912,4.28919,239.289,738.625,-3.76022,0.91389,4.19082,129.046,741.957,-3.29997,-0.503322,4.10979,216.376,426.58,-3.37936,-0.42123,4.38401,246.118,451.016,-3.60917,-0.424495,4.1389,152.419,445.016,-3.35199,-0.444528,4.36208,248.34,445.622,-3.58567,-0.451898,4.11322,152.669,438.253,-3.43389,-0.174924,4.48001,250.144,503.84,-3.73733,-0.187684,4.12798,121.532,497.893,-3.44626,-0.15494,4.50368,251.331,508.139,-3.76213,-0.166233,4.1357,117.543,502.775,-3.42362,-0.179196,4.44644,246.923,502.677,-3.70651,-0.194452,4.11621,126.067,496.25,-3.36849,0.0157569,4.32095,238.03,543.377,-3.61224,-0.030293,3.97107,117.573,532.935,-3.33966,0.918731,4.25034,232.317,740.183,-3.72887,0.918387,4.21321,140.351,741.872,-3.33614,0.921093,4.32805,246.135,737.095,-3.79156,0.909394,4.16843,117.62,742.042,-3.50495,0.884253,4.38856,220.355,726.603,-3.90891,0.806817,4.26358,110.927,715.252,-3.3379,0.919912,4.28919,239.289,738.625,-3.76022,0.91389,4.19082,129.046,741.957
3,0.05,2,822.766,542.295,-0.931991,0.0623791,6.59341,829.093,548.762,-0.900608,0.068576,6.52102,832.096,549.739,-0.963373,0.0561823,6.66581,826.154,547.806,-0.981954,-0.317202,6.51936,820.508,494.94,-1.00337,-0.479879,6.48762,816.769,471.497,-1.08179,0.417984,6.4282,804.146,600.219,-0.923847,0.448845,6.75403,833.322,601.546,-1.04467,0.804203,6.4622,810.286,655.252,-0.61643,0.657517,6.8678,876.875,628.665,-1.18112,0.865152,6.37249,788.349,665.732,-0.659468,0.823597,6.89464,871.418,650.628,-1.12922,-0.582808,6.3804,796.094,455.406,-0.875735,-0.424579,6.37819,832.844,478.351,-1.09105,-0.458699,6.64911,808.035,476.111,-0.895191,-0.454983,6.35754,829.596,473.722,-1.10954,-0.490695,6.63194,805.059,471.477,-0.739831,-0.194582,6.34708,852.05,511.608,-1.1605,-0.217275,6.75028,800.784,510.191,-0.719047,-0.170277,6.34692,855.08,515.154,-1.16191,-0.190401,6.77187,801.098,513.961,-0.776324,-0.205964,6.3458,846.703,509.942,-1.16257,-0.232364,6.71789,799.731,507.967,-0.949725,-0.0980822,6.26052,819.508,525.491,-1.28907,-0.135726,6.56005,778.016,520.839,-1.21478,0.859795,6.39206,783.997,664.571,-0.669656,0.840692,6.8609,869.607,653.48,-1.14745,0.87051,6.35293,792.728,666.9,-0.64928,0.806503,6.92839,873.211,647.804,-1.01246,0.851065,6.4769,815.232,661.691,-0.559143,0.653119,6.88181,884.754,627.893,-1.18112,0.865152,6.37249,788.349,665.732,-0.659468,0.823597,6.89464,871.418,650.628
4,0.0666667,1,187.911,548.16,-3.63513,0.0643753,4.32892,182.315,553.772,-3.58899,0.0666396,4.38685,202.325,554.068,-3.68128,0.062111,4.271,161.762,553.468,-3.50887,-0.299133,4.23914,193.428,474.649,-3.45476,-0.454923,4.20066,198.337,439.704,-3.40745,0.44289,4.25654,218.628,636.361,-3.60516,0.475855,4.15048,155.568,646.179,-3.46682,0.834659,4.33458,219.292,718.331,-3.86518,0.78122,4.19859,107.43,712.319,-3.32039,0.911907,4.27798,241.19,737.413,-3.7623,0.910882,4.15459,121.336,743.047,-3.29963,-0.49643,4.08415,211.785,427.431,-3.38047,-0.416328,4.36109,242.131,451.59,-3.603,-0.410864,4.10455,147.055,447.297,-3.353,-0.439566,4.33958,244.435,446.192,-3.57908,-0.438398,4.0798,147.551,440.484,-3.4357,-0.168009,4.45965,246.527,505.11,-3.72739,-0.167118,4.09232,116.475,502.18,-3.44693,-0.14672,4.48233,247.817,509.686,-3.75354,-0.145959,4.10025,112.198,507.033,-3.42719,-0.174377,4.42524,242.761,503.506,-3.69582,-0.17305,4.08212,121.528,500.74,-3.38095,0.00759643,4.27835,228.146,541.644,-3.59971,0.00764358,3.95497,117.078,541.79,-3.31847,0.911078,4.23911,235.021,739.041,-3.7339,0.91449,4.18077,132.877,742.575,-3.32232,0.912737,4.31684,247.248,735.814,-3.7907,0.907274,4.12842,109.649,743.525,-3.4967,0.877427,4.36084,217.407,726.339,-3.92014,0.803931,4.20577,96.7861,717.026,-3.32039,0.911907,4.27798,241.19,737.413,-3.7623,0.910882,4.15459,121.336,743.047
4,0.0666667,2,818.577,543.236,-0.960823,0.0702526,6.57438,824.652,549.896,-0.930791,0.0757371,6.50177,827.418,550.788,-0.990855,0.0647681,6.64699,821.946,549.024,-1.00651,-0.311338,6.5006,816.606,495.645,-1.0261,-0.474877,6.46897,813.102,472.016,-1.10465,0.423841,6.41247,800.462,601.213,-0.962813,0.453741,6.73239,827.555,602.417,-1.04463,0.803706,6.45009,810.01,655.397,-0.646238,0.641744,6.84446,872.559,626.833,-1.18015,0.865509,6.36147,788.192,666.002,-0.661324,0.812949,6.87283,870.887,649.545,-1.15369,-0.582055,6.36496,792.136,455.31,-0.902196,-0.416898,6.3549,828.521,479.245,-1.10643,-0.453277,6.63475,805.559,476.729,-0.921544,-0.447469,6.33455,825.27,474.58,-1.1259,-0.485393,6.61925,802.474,472.088,-0.770435,-0.185685,6.31801,847.067,512.782,-1.16186,-0.219989,6.76067,800.842,509.865,-0.748635,-0.161281,6.31721,850.249,516.356,-1.15949,-0.195127,6.78598,801.759,513.37,-0.807268,-0.196765,6.31895,841.686,511.162,-1.1685,-0.231605,6.72722,799.137,508.116,-0.980541,-0.0823359,6.24833,814.667,527.796,-1.31207,-0.113226,6.60502,776.031,524.124,-1.21371,0.861154,6.38157,783.864,664.973,-0.670043,0.831606,6.83943,869.271,652.606,-1.14659,0.869863,6.34136,792.548,667.037,-0.652604,0.794293,6.90622,872.487,646.513,-1.01034,0.849608,6.46397,815.245,661.726,-0.590227,0.629042,6.85676,880.281,624.962,-1.18015,0.865509,6.36147,788.192,666.002,-0.661324,0.812949,6.87283,870.887,649.545
