frame,time,id,pose_cx,pose_cy,pelvis_x,pelvis_y,pelvis_z,pelvis_u,pelvis_v,left_hip_x,left_hip_y,left_hip_z,left_hip_u,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_u,right_hip_v,spine3_x,spine3_y,spine3_z,spine3_u,spine3_v,neck_x,neck_y,neck_z,neck_u,neck_v,left_knee_x,left_knee_y,left_knee_z,left_knee_u,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_u,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_u,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_u,right_ankle_v,left_foot_x,left_foot_y,left_foot_z,left_foot_u,left_foot_v,right_foot_x,right_foot_y,right_foot_z,right_foot_u,right_foot_v,head_x,head_y,head_z,head_u,head_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_u,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_u,right_shoulder_v,left_acromion_x,left_acromion_y,left_acromion_z,left_acromion_u,left_acromion_v,right_acromion_x,right_acromion_y,right_acromion_z,right_acromion_u,right_acromion_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_u,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_u,right_elbow_v,left_olecranon_x,left_olecranon_y,left_olecranon_z,left_olecranon_u,left_olecranon_v,right_olecranon_x,right_olecranon_y,right_olecranon_z,right_olecranon_u,right_olecranon_v,left_cubital_fossa_x,left_cubital_fossa_y,left_cubital_fossa_z,left_cubital_fossa_u,left_cubital_fossa_v,right_cubital_fossa_x,right_cubital_fossa_y,right_cubital_fossa_z,right_cubital_fossa_u,right_cubital_fossa_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_u,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_u,right_wrist_v,left_big_toe_tip_x,left_big_toe_tip_y,left_big_toe_tip_z,left_big_toe_tip_u,left_big_toe_tip_v,right_big_toe_tip_x,right_big_toe_tip_y,right_big_toe_tip_z,right_big_toe_tip_u,right_big_toe_tip_v,left_small_toe_tip_x,left_small_toe_tip_y,left_small_toe_tip_z,left_small_toe_tip_u,left_small_toe_tip_v,right_small_toe_tip_x,right_small_toe_tip_y,right_small_toe_tip_z,right_small_toe_tip_u,right_small_toe_tip_v,left_heel_x,left_heel_y,left_heel_z,left_heel_u,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_u,right_heel_v,left_toe_x,left_toe_y,left_toe_z,left_toe_u,left_toe_v,right_toe_x,right_toe_y,right_toe_z,right_toe_u,right_toe_v
0,0,1,677.782,781.162,-0.51165,0.33307,1.46058,605.632,770.683,-0.58278,0.33321,1.49725,566.253,765.129,-0.440521,0.33293,1.42392,647.04,776.524,-0.403233,0.0807362,1.74733,726.553,586.741,-0.356769,-0.0274067,1.87022,767.025,525.176,-0.582728,0.764917,1.6006,591.71,1023.44,-0.333713,0.754469,1.51308,736.89,1044.41,-0.626894,1.15051,1.52856,545.124,1301.4,-0.329124,1.14236,1.44855,730.156,1337.77,-0.611344,1.22979,1.68582,593.156,1277.95,-0.205696,1.21221,1.55619,826.288,1328,-0.308582,-0.0404941,2.07214,809.354,520.231,-0.517504,0.00977015,1.90564,685.286,545.186,-0.208934,-0.0133772,1.75415,839.511,532.286,-0.495758,-0.00401807,1.94137,701.674,537.906,-0.192619,-0.0244088,1.79299,851.325,526.229,-0.578628,0.281798,1.8746,647.752,692.068,-0.184847,0.223934,1.60514,843.505,681.128,-0.605667,0.29949,1.8569,630.046,703.155,-0.18763,0.23032,1.56769,838.926,688.621,-0.548233,0.281047,1.88805,666.263,690.582,-0.186434,0.232137,1.63578,844.706,683.558,-0.489505,0.523875,1.93997,704.748,813.174,-0.152313,0.486919,1.61633,864.673,844.743,-0.57486,1.2274,1.69986,617.897,1270.44,-0.21721,1.20966,1.5934,822.101,1307.97,-0.647827,1.23217,1.67178,567.999,1285.59,-0.194183,1.21476,1.51898,830.68,1349,-0.635602,1.19336,1.49055,528.633,1349.9,-0.345761,1.18666,1.41602,712.989,1387.74,-0.611344,1.22979,1.68582,593.156,1277.95,-0.205696,1.21221,1.55619,826.288,1328
0,0,2,985.768,705.034,0.0691776,0.577931,3.40051,980.579,711.925,0.146859,0.58183,3.40452,1003.64,712.881,-0.00850352,0.574032,3.39649,957.467,710.967,0.135109,0.177855,3.43634,999.774,592.357,0.163365,0.00639439,3.4517,1007.88,541.874,0.168501,1.00054,3.27616,1012.03,848.943,-0.0731513,0.943969,3.17015,936.657,841.221,0.184954,1.40237,3.30422,1016.62,969.34,-0.134079,1.34121,3.18097,917.361,966.526,0.192861,1.47902,3.14403,1022.05,1015.88,-0.199935,1.42996,3.03997,893.469,1015.84,0.19083,-0.154799,3.32665,1018.03,492.927,0.301801,0.0836823,3.50355,1047.14,564.162,-0.00795585,0.0411978,3.46369,957.676,552.032,0.315825,0.0490311,3.4836,1051.71,554.238,-0.00611579,0.00194979,3.44624,958.205,540.572,0.342089,0.331331,3.58464,1056.54,633.503,-0.133429,0.278925,3.44948,920.87,621.798,0.347516,0.354911,3.60571,1057.5,639.572,-0.149872,0.300504,3.47409,916.36,627.502,0.328862,0.321783,3.55258,1053.64,631.628,-0.119511,0.273123,3.42242,924.675,620.73,0.298188,0.47708,3.37959,1049.26,682.802,-0.200963,0.454663,3.27928,898.007,680.255,0.159859,1.47357,3.12417,1011.76,1017.14,-0.174751,1.42906,3.01051,901.28,1020.2,0.225862,1.48446,3.16389,1032.22,1014.63,-0.225118,1.43085,3.06944,885.808,1011.57,0.187834,1.44758,3.33966,1016.9,978.477,-0.131122,1.38346,3.21919,918.796,974.736,0.192861,1.47902,3.14403,1022.05,1015.88,-0.199935,1.42996,3.03997,893.469,1015.84
1,0.0166667,1,680.529,782.079,-0.506525,0.333901,1.46135,609.366,771.137,-0.57782,0.334046,1.49759,569.692,765.643,-0.43523,0.333755,1.42511,651.057,776.912,-0.397799,0.0845808,1.74899,729.917,588.921,-0.351202,-0.0222706,1.87226,770.243,527.967,-0.580189,0.766348,1.59469,591.954,1026.14,-0.330594,0.754098,1.51828,739.733,1042.44,-0.6265,1.15103,1.51864,542.675,1306.73,-0.323963,1.14269,1.45837,735.283,1332.63,-0.610188,1.23024,1.67553,591.602,1282.75,-0.202866,1.21216,1.56905,829.208,1321.5,-0.307196,-0.0340302,2.07522,810.252,523.411,-0.512682,0.0109679,1.90434,687.66,545.826,-0.202951,-0.00777638,1.75588,843.076,535.52,-0.491491,-0.0017966,1.94058,703.792,539.063,-0.186815,-0.0184054,1.79504,854.721,529.628,-0.594599,0.27772,1.86575,637.612,690.578,-0.178472,0.22679,1.60112,847.24,683.288,-0.62206,0.292723,1.84636,619.181,700.38,-0.180824,0.232977,1.56373,843.022,690.716,-0.565298,0.279868,1.88085,655.961,690.524,-0.180392,0.235241,1.6318,848.17,685.832,-0.53352,0.528091,1.93266,680.744,816.414,-0.146424,0.4898,1.61342,868.194,847.1,-0.573592,1.22795,1.68926,616.511,1275.35,-0.215134,1.20934,1.60599,824.489,1301.75,-0.646783,1.23253,1.6618,566.281,1290.28,-0.190599,1.21497,1.5321,834.154,1342.2,-0.635765,1.19371,1.48048,525.587,1355.65,-0.339878,1.18719,1.42593,718.88,1382.23,-0.610188,1.23024,1.67553,591.602,1282.75,-0.202866,1.21216,1.56905,829.208,1321.5
1,0.0166667,2,984.147,705.039,0.0651908,0.5739,3.37294,979.552,712.121,0.143104,0.576684,3.37689,1002.87,712.754,-0.0127227,0.571115,3.369,956.18,711.487,0.128341,0.174238,3.41053,998.067,591.681,0.155405,0.00295413,3.42664,1005.88,540.872,0.168541,1.0011,3.27206,1012.11,849.502,-0.0869874,0.946631,3.15631,932.121,843.396,0.186784,1.40345,3.30811,1017.12,969.165,-0.156825,1.34317,3.13631,909.417,973.232,0.19491,1.48441,3.14989,1022.6,1016.72,-0.216659,1.4263,2.98822,886.655,1022.84,0.183835,-0.155644,3.30018,1016.35,492.291,0.292093,0.0804828,3.47607,1045,563.422,-0.0115795,0.0329621,3.44628,956.601,549.675,0.307164,0.0461332,3.45622,1049.9,553.503,-0.0110631,-0.00607502,3.42839,956.736,538.207,0.325961,0.326298,3.55561,1052.74,632.834,-0.138595,0.266365,3.44151,919.261,618.295,0.330424,0.349653,3.57714,1053.44,638.88,-0.153748,0.287351,3.46714,915.141,623.84,0.314221,0.317051,3.52315,1050.22,631.034,-0.126201,0.261073,3.41371,922.602,617.365,0.291199,0.47487,3.35184,1047.88,683.317,-0.216591,0.442338,3.2774,893.147,676.531,0.162026,1.47924,3.12976,1012.37,1018.12,-0.190287,1.42413,2.95989,894.966,1026.72,0.227793,1.48958,3.17001,1032.69,1015.35,-0.243032,1.42846,3.01656,878.5,1019.03,0.189359,1.44783,3.34466,1017.27,977.898,-0.155853,1.38723,3.17199,910.296,982.409,0.19491,1.48441,3.14989,1022.6,1016.72,-0.216659,1.4263,2.98822,886.655,1022.84
2,0.0333333,1,682.13,783.019,-0.507296,0.336628,1.47205,611.384,771.332,-0.578802,0.337141,1.50923,572.043,765.977,-0.435791,0.336114,1.43487,652.763,776.964,-0.396825,0.088064,1.7601,731.929,590.614,-0.34948,-0.0184633,1.88355,772.305,530.084,-0.581204,0.771978,1.59422,591.201,1029.85,-0.328645,0.755844,1.52792,742.412,1040.42,-0.62916,1.155,1.5111,538.814,1313.21,-0.32463,1.14448,1.46831,736.345,1328.49,-0.609142,1.23633,1.66655,590.251,1290.45,-0.201915,1.21566,1.57645,830.432,1320.08,-0.305803,-0.0277255,2.08748,811.807,526.564,-0.511379,0.0156227,1.91578,689.974,548.249,-0.201816,-0.00585234,1.76581,844.384,536.647,-0.490223,0.00290668,1.95203,705.953,541.506,-0.185409,-0.0162063,1.80487,856.082,530.917,-0.592397,0.281365,1.87484,640.364,691.814,-0.176897,0.225018,1.6067,848.624,681.674,-0.619933,0.296219,1.85521,621.967,701.521,-0.17924,0.229516,1.56879,844.421,687.998,-0.563003,0.283596,1.88998,658.657,691.792,-0.178819,0.234705,1.63682,849.485,685.054,-0.530807,0.531809,1.93963,683.162,817.361,-0.143709,0.487955,1.60411,869.373,847.718,-0.572203,1.23425,1.67942,615.335,1283.45,-0.213459,1.21302,1.61366,826.183,1300.44,-0.646081,1.23841,1.65368,564.777,1297.56,-0.190372,1.21829,1.53924,834.887,1340.67,-0.639356,1.19709,1.47247,520.759,1362.41,-0.341519,1.18872,1.43605,719.423,1377.37,-0.609142,1.23633,1.66655,590.251,1290.45,-0.201915,1.21566,1.57645,830.432,1320.08
2,0.0333333,2,983.138,705.219,0.0629445,0.572946,3.35549,978.976,712.729,0.140089,0.575228,3.36128,1002.16,713.118,-0.0142001,0.570663,3.3497,955.712,712.338,0.123129,0.172439,3.39426,996.696,591.392,0.148922,0.000793576,3.41087,1004.17,540.235,0.167869,1.00024,3.26397,1012.03,850.002,-0.0893413,0.944957,3.13726,931.192,844.697,0.187488,1.40213,3.30395,1017.4,969.301,-0.16804,1.33792,3.09528,905.081,977.258,0.195816,1.48405,3.14632,1022.96,1017.15,-0.219707,1.42008,2.94272,884.473,1028.17,0.179026,-0.157389,3.28505,1015.13,491.534,0.283877,0.0776792,3.46395,1042.9,562.685,-0.0175015,0.0287069,3.42652,954.833,548.475,0.299734,0.0435681,3.44432,1048.03,552.796,-0.0165619,-0.0102148,3.40851,955.085,536.968,0.317031,0.316484,3.55336,1050.25,630.099,-0.146113,0.2569,3.41787,916.754,616.035,0.321143,0.338517,3.57644,1050.84,635.75,-0.16119,0.277904,3.44348,912.647,621.64,0.305894,0.309108,3.52034,1047.9,628.824,-0.133944,0.251403,3.39003,920.031,615.019,0.286992,0.475526,3.36074,1046.39,683.135,-0.227666,0.427617,3.25454,889.236,672.914,0.162977,1.47889,3.12608,1012.74,1018.57,-0.191661,1.41801,2.916,893.51,1031.93,0.228656,1.48921,3.16656,1033.05,1015.75,-0.247752,1.42215,2.96944,875.599,1024.48,0.18998,1.44628,3.34092,1017.52,977.919,-0.170051,1.38231,3.12995,905.04,986.762,0.195816,1.48405,3.14632,1022.96,1017.15,-0.219707,1.42008,2.94272,884.473,1028.17
3,0.05,1,685.118,782.212,-0.505852,0.337182,1.48308,614.962,769.989,-0.578144,0.337519,1.51941,575.081,764.714,-0.433561,0.336845,1.44676,656.847,775.528,-0.39263,0.0898687,1.77249,735.918,591.29,-0.344106,-0.0161226,1.89652,776.455,531.4,-0.582014,0.773198,1.59864,591.711,1029.27,-0.328275,0.756695,1.5403,744.404,1036.96,-0.628962,1.15387,1.50722,537.86,1314.44,-0.318582,1.14461,1.4808,742.363,1321.93,-0.610939,1.23622,1.66216,588.179,1292.37,-0.200101,1.21415,1.59469,833.065,1310.2,-0.297416,-0.0240618,2.09949,816.696,528.406,-0.505756,0.0149713,1.93031,694.954,547.846,-0.197388,-0.00184226,1.77823,847.71,538.952,-0.484081,0.00260091,1.9664,710.968,541.338,-0.180518,-0.011992,1.81716,859.507,533.324,-0.587299,0.281445,1.8924,646.054,690.449,-0.175932,0.229717,1.61923,850.088,683.513,-0.615483,0.295516,1.87273,627.532,699.63,-0.178956,0.233819,1.58118,845.508,689.592,-0.55822,0.284428,1.90715,663.908,690.867,-0.177314,0.239669,1.64916,851.236,687.013,-0.535747,0.535686,1.95372,682.6,817.368,-0.142353,0.493134,1.61099,870.611,849.657,-0.574139,1.23417,1.67548,613.356,1285.15,-0.213309,1.21136,1.63135,827.727,1291.16,-0.64774,1.23827,1.64883,562.595,1299.71,-0.186893,1.21694,1.55802,838.654,1330.14,-0.638716,1.19549,1.46788,519.826,1363.87,-0.333651,1.1891,1.44804,726.911,1370.7,-0.610939,1.23622,1.66216,588.179,1292.37,-0.200101,1.21415,1.59469,833.065,1310.2
3,0.05,2,981.48,706.167,0.0592097,0.571581,3.33737,977.947,713.253,0.13723,0.57383,3.346,1001.49,713.486,-0.0188109,0.569332,3.32874,954.283,713.019,0.117309,0.172853,3.38038,995.106,591.727,0.142209,0.0019697,3.39881,1002.33,540.586,0.166951,0.998698,3.24787,1012,851.06,-0.0980366,0.942472,3.1154,928.167,846.029,0.18714,1.40221,3.2992,1017.38,969.943,-0.185056,1.33392,3.05352,898.693,981.912,0.196334,1.4793,3.13983,1023.26,1016.61,-0.216187,1.40553,2.89016,884.332,1031.95,0.172911,-0.157448,3.27283,1013.45,491.335,0.276414,0.0806496,3.45674,1040.89,563.602,-0.0267628,0.0330093,3.40583,952.051,549.804,0.292989,0.0461929,3.43805,1046.21,553.592,-0.0240829,-0.00724411,3.3893,952.812,537.838,0.303429,0.327148,3.54029,1046.7,633.479,-0.1607,0.258489,3.35684,911.572,617.897,0.3063,0.350865,3.56164,1047,639.655,-0.178493,0.283194,3.37674,906.527,624.839,0.293596,0.317193,3.50711,1044.69,631.492,-0.145799,0.248433,3.33107,915.723,615.445,0.277578,0.469677,3.33115,1044.29,682.631,-0.228922,0.392603,3.1539,886.574,665.925,0.163417,1.47386,3.11977,1012.99,1017.91,-0.184702,1.4022,2.86772,894.846,1034.63,0.229252,1.48475,3.15989,1033.39,1015.32,-0.247672,1.40886,2.9126,873.979,1029.32,0.190045,1.44719,3.33587,1017.63,978.858,-0.192742,1.38044,3.08491,896.796,992.672,0.196334,1.4793,3.13983,1023.26,1016.61,-0.216187,1.40553,2.89016,884.332,1031.95
4,0.0666667,1,687.982,784.644,-0.500747,0.340042,1.48279,618.378,771.986,-0.57347,0.340181,1.51939,578.19,766.489,-0.428023,0.339904,1.44618,660.6,777.761,-0.387421,0.0916969,1.7722,738.855,592.342,-0.338853,-0.0147369,1.89624,779.23,532.138,-0.578784,0.777409,1.59675,593.32,1032.52,-0.32229,0.761916,1.5351,747.618,1042.08,-0.626652,1.15726,1.50197,537.942,1319.43,-0.315443,1.14895,1.46868,742.729,1331.38,-0.609082,1.2414,1.65596,587.923,1298.35,-0.197407,1.22013,1.5816,833.738,1320.4,-0.297973,-0.0152528,2.09921,816.408,532.65,-0.500937,0.0175105,1.93033,697.482,549.176,-0.192001,-0.000284195,1.77671,850.681,539.838,-0.479039,0.00485134,1.96616,713.532,542.496,-0.17506,-0.010258,1.81572,862.469,534.285,-0.581237,0.284408,1.89208,649.243,692.058,-0.171907,0.226829,1.6111,852.061,682.424,-0.609631,0.297913,1.8722,630.601,700.97,-0.174531,0.229035,1.57272,847.739,687.319,-0.55252,0.287868,1.9067,666.861,692.728,-0.173687,0.238103,1.64023,852.88,686.848,-0.535871,0.540704,1.9497,681.965,820.542,-0.139849,0.489555,1.58724,870.87,852.009,-0.572304,1.23957,1.66936,613.195,1291.15,-0.210618,1.21765,1.61827,828.341,1301.16,-0.645861,1.24323,1.64257,562.238,1305.66,-0.184195,1.22261,1.54493,839.391,1340.55,-0.636398,1.19839,1.46216,519.708,1369.11,-0.330797,1.19295,1.43524,726.846,1380.82,-0.609082,1.2414,1.65596,587.923,1298.35,-0.197407,1.22013,1.5816,833.738,1320.4
4,0.0666667,2,980.31,705.82,0.0570789,0.567171,3.32441,977.369,712.587,0.13545,0.569953,3.33523,1001.08,712.871,-0.0212921,0.564388,3.31358,953.5,712.301,0.112867,0.171461,3.37204,993.859,591.437,0.136776,0.00187087,3.39246,1000.79,540.558,0.167341,0.994696,3.23839,1012.27,850.719,-0.105229,0.938413,3.10415,925.707,845.815,0.187725,1.39819,3.29474,1017.64,969.293,-0.198994,1.32705,3.03119,893.59,982.875,0.197266,1.47787,3.13673,1023.62,1016.61,-0.215662,1.39892,2.86547,883.865,1033.86,0.166165,-0.159478,3.26961,1011.41,490.658,0.269469,0.0797569,3.45255,1038.95,563.369,-0.0323783,0.0330083,3.39057,950.34,549.848,0.286669,0.0450613,3.43495,1044.42,553.271,-0.0283177,-0.00816417,3.37579,951.514,537.554,0.291979,0.335242,3.52129,1043.88,636.308,-0.167649,0.252064,3.3061,908.703,617.126,0.294087,0.360463,3.54099,1044.02,642.978,-0.186997,0.27848,3.32218,903.06,624.797,0.282965,0.322927,3.48863,1042.05,633.639,-0.151278,0.239708,3.28258,913.381,613.871,0.268147,0.464848,3.30104,1042.17,682.452,-0.229231,0.365878,3.08621,884.863,659.927,0.164497,1.47247,3.11645,1013.4,1017.96,-0.182224,1.39592,2.84605,895.23,1036.16,0.230035,1.48326,3.15701,1033.71,1015.28,-0.249099,1.40191,2.8849,872.653,1031.58,0.190388,1.44261,3.33214,1017.8,977.96,-0.210389,1.3734,3.06139,890.48,993.822,0.197266,1.47787,3.13673,1023.62,1016.61,-0.215662,1.39892,2.86547,883.865,1033.86
